geocode,employee,inactive,self-employed,student,unemployed
E01000367,601,335,75,27,88
E01000368,585,329,59,31,52
E01000373,485,311,60,59,119
E01000374,476,344,69,34,74
E01000375,566,322,88,41,61
E01000376,619,279,108,35,44
E01000377,602,280,106,30,34
E01000379,661,327,104,37,55
E01000380,619,272,98,23,43
E01000403,747,467,98,33,90
E01000429,562,348,83,55,113
E01000430,700,286,100,38,80
E01000431,549,388,67,46,127
E01000432,562,383,70,22,69
E01000433,578,411,89,43,97
E01000434,511,356,51,36,75
E01000435,497,320,79,26,60
E01015921,539,185,105,12,53
E01015922,554,343,63,36,82
E01015923,690,288,89,40,48
E01015925,621,313,123,26,45
E01015926,600,295,120,24,47
E01015927,677,336,102,38,86
E01015928,680,324,115,37,85
E01015929,539,351,63,27,77
E01015930,709,326,98,39,74
E01015931,508,278,67,19,105
E01015939,745,200,107,41,44
E01015941,670,178,117,28,34
E01015942,673,240,139,23,57
E01015951,740,284,92,35,73
E01015952,911,319,108,32,117
E01015953,1095,288,119,37,99
E01015954,951,397,119,51,122
E01015955,751,232,138,22,47
E01015956,904,351,127,45,117
E01015957,538,334,111,33,48
E01015958,561,255,72,35,50
E01015959,656,344,101,44,77
E01015960,591,294,110,30,33
E01015961,668,260,91,29,56
E01015962,696,269,79,41,91
E01015963,432,261,57,16,56
E01015964,630,327,113,34,41
E01015966,609,345,110,29,41
E01015967,715,245,115,35,44
E01015968,627,262,91,22,36
E01015969,753,330,123,24,47
E01015970,588,214,90,30,38
E01015982,1191,293,196,52,62
E01015993,613,276,84,46,53
E01015994,507,357,100,26,38
E01015995,717,348,123,43,39
E01015996,614,314,83,37,60
E01016011,753,191,90,22,107
E01016012,1036,403,173,54,135
E01016013,1114,291,138,47,108
E01016014,1030,375,142,67,142
E01016015,791,282,76,40,79
E01024132,503,238,106,19,58
E01024133,656,178,96,30,31
E01024134,682,335,126,32,51
E01024135,500,297,117,24,53
E01024136,745,245,104,40,44
E01024137,630,285,98,40,34
E01024138,689,293,97,51,51
E01024139,737,331,137,45,34
E01024140,1462,271,206,46,62
E01024141,703,275,108,34,44
E01024142,1380,344,193,44,103
E01024143,1226,262,211,30,60
E01024144,650,263,123,40,30
E01024145,677,300,128,45,35
E01024146,612,313,107,51,21
E01024147,748,306,116,37,43
E01024148,512,379,85,24,112
E01024149,1272,453,126,52,116
E01024154,473,261,53,16,71
E01024155,458,326,62,30,72
E01024156,803,268,81,33,81
E01024157,627,372,172,35,27
E01024161,984,270,125,51,65
E01024162,897,217,104,19,70
E01024163,773,313,122,41,55
E01024164,878,298,162,31,65
E01024165,534,345,75,21,71
E01024166,665,336,100,38,64
E01024167,735,371,103,35,75
E01024168,475,274,80,34,40
E01024169,583,316,65,34,58
E01024170,556,340,86,27,74
E01024171,701,267,105,17,44
E01024172,1020,282,127,49,92
E01024173,682,316,173,33,43
E01024174,502,209,95,30,22
E01024175,581,223,111,26,27
E01024176,668,309,80,16,61
E01024177,468,338,62,30,93
E01024178,683,300,88,24,79
E01024179,1251,409,201,55,150
E01024180,769,188,96,16,55
E01024181,633,203,82,29,44
E01024182,726,243,127,52,65
E01024183,561,251,115,28,37
E01024184,915,266,129,50,60
E01024185,918,339,135,39,62
E01024186,573,233,98,24,25
E01024187,443,198,107,26,24
E01024188,487,231,101,23,29
E01024189,609,308,145,32,33
E01024268,559,383,143,25,45
E01024269,706,458,136,37,24
E01024276,1148,410,171,62,81
E01024277,659,416,105,30,103
E01024278,618,453,69,27,158
E01024279,580,311,81,33,65
E01024280,660,343,77,39,79
E01024281,557,297,98,38,49
E01024283,526,247,86,35,51
E01024285,567,278,75,26,43
E01024286,741,336,98,38,34
E01024287,512,315,59,24,35
E01024288,476,317,69,22,30
E01024434,850,337,183,32,42
E01024445,579,267,99,22,22
E01024446,658,276,120,39,27
E01024447,478,304,108,26,35
E01024479,647,315,90,21,30
E01024480,547,394,91,20,81
E01033610,790,148,96,45,41
E01033611,857,144,112,35,56
E01033612,781,169,132,41,53
E01033613,780,152,111,42,29
E01033614,820,241,152,31,39
