geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E01011296,164,137,78,167,252,213,312,122,233
E01011297,193,206,130,215,287,228,163,68,95
E01011298,219,158,225,232,227,166,156,51,104
E01011300,205,216,139,253,211,137,152,63,93
E01011301,137,156,134,165,216,203,197,55,73
E01011302,76,109,132,101,182,246,302,94,164
E01011303,120,149,117,133,160,153,156,60,97
E01011304,210,196,194,236,222,188,156,48,141
E01011305,179,175,172,242,232,215,151,38,92
E01011306,134,175,139,170,216,178,196,58,76
E01011307,205,193,165,196,235,158,187,63,124
E01011308,185,175,156,183,237,158,217,66,151
E01011309,159,158,122,165,265,221,201,80,136
E01011392,136,166,115,142,201,204,280,98,121
E01011396,177,238,276,229,287,180,190,59,130
E01011397,161,215,158,166,261,207,191,56,91
E01011398,115,179,138,150,230,220,140,41,44
E01011399,168,189,151,160,236,186,179,66,146
E01011400,157,176,133,178,245,156,195,69,119
E01011401,182,191,127,200,244,171,225,74,95
E01011402,129,175,152,139,255,238,295,126,259
E01011403,109,158,84,129,171,146,215,110,274
E01011404,160,169,100,186,225,164,178,65,74
E01011405,117,131,85,119,186,178,316,118,175
E01011697,164,121,499,381,348,229,183,68,98
E01011698,159,184,118,163,226,212,249,83,109
E01011699,130,131,114,145,199,210,222,84,110
E01011700,93,306,116,102,153,159,186,80,158
E01011701,136,182,83,125,228,182,171,54,126
E01011702,106,146,56,98,185,186,199,75,133
E01011703,86,138,64,80,167,200,284,104,156
E01011704,144,114,173,221,240,204,234,127,313
E01011705,161,164,115,176,210,155,165,75,157
E01011707,151,127,81,151,194,171,218,98,168
E01011709,203,155,91,156,234,176,271,99,203
E01011710,185,124,117,204,220,228,156,66,121
E01011711,158,113,83,156,199,185,230,89,176
E01011712,132,135,136,144,222,227,206,52,105
E01013018,233,198,200,224,286,202,239,100,173
E01013020,199,216,137,197,352,293,241,63,102
E01013021,129,144,137,155,225,240,243,89,134
E01013022,194,215,136,202,341,333,309,66,88
E01013023,146,196,126,165,337,322,297,100,149
E01013024,201,250,198,228,286,224,254,75,116
E01013026,154,212,179,166,275,272,195,68,140
E01013052,126,226,138,143,259,262,215,54,117
E01013053,86,105,64,106,165,198,315,103,237
E01013054,288,380,174,316,382,181,135,66,135
E01013055,127,209,149,151,250,183,208,79,167
E01013056,173,176,199,209,235,181,203,75,173
E01013057,153,180,89,166,289,222,243,63,98
E01013058,121,137,96,141,216,204,245,57,111
E01013059,175,154,140,184,250,237,263,94,123
E01013060,167,220,101,210,278,267,300,105,266
E01013061,170,176,113,183,240,233,264,76,159
E01013119,159,177,107,146,265,251,215,72,100
E01013122,138,204,103,119,271,258,234,57,103
E01013126,187,209,267,326,432,335,252,61,85
E01013127,170,165,93,153,257,245,257,66,94
E01013335,201,236,195,194,242,174,183,54,103
E01013336,152,156,145,172,210,224,196,78,137
E01013337,192,169,200,202,250,262,163,65,147
E01013338,305,252,306,363,340,218,190,93,240
E01013339,210,179,125,207,255,201,187,65,166
E01013340,167,150,53,102,231,218,162,72,119
