geocode,all
E01007328,4.14
E01007330,7.45
E01007332,8.37
E01007333,17.95
E01007348,19.09
E01007349,2.96
E01007350,2.4
E01007351,3.95
E01007352,52.73
E01007353,30.56
E01007354,3.1
E01007364,13.25
E01007365,21.64
E01007366,14.97
E01007367,7.27
E01007368,42.39
E01007369,28.67
E01007370,5.56
E01007371,19.14
E01007372,22.06
E01007373,23.07
E01007374,7.97
E01007375,24.26
E01007376,9.09
E01007377,32.42
E01007378,17.64
E01007448,16.11
E01007449,12.49
E01007451,16.74
E01007455,22.25
E01007464,25.53
E01007465,22.73
E01007466,19.37
E01007467,24.72
E01007468,12.63
E01007469,19.89
E01007470,51.39
E01007471,21.06
E01007472,64.68
E01007473,5.63
E01007474,8.54
E01007475,8.13
E01007476,36.07
E01007477,30.97
E01007478,10.99
E01007479,3.23
E01007480,46.69
E01007482,46.54
E01007483,6.33
E01007484,44.1
E01007485,9.1
E01007486,46.13
E01007487,9.34
E01007488,0.41
E01007489,3.57
E01007490,1.0
E01007491,72.3
E01007492,10.75
E01007493,6.99
E01007494,32.78
E01007495,11.89
E01007496,52.95
E01007497,62.69
E01007498,33.99
E01007499,50.18
E01007500,28.01
E01007501,39.16
E01007502,15.7
E01007503,32.09
E01007504,4.64
E01007505,4.08
E01007506,10.57
E01007507,9.95
E01007508,24.52
E01007509,36.98
E01007510,41.11
E01007511,1.71
E01007512,35.76
E01007513,27.8
E01007514,67.54
E01007515,47.08
E01007516,34.22
E01007517,29.95
E01007518,13.35
E01007519,49.47
E01007520,22.14
E01007521,36.95
E01007522,42.34
E01007523,43.98
E01007524,31.33
E01007525,8.25
E01007526,17.0
E01007527,20.3
E01007528,27.36
E01007529,26.02
E01007530,18.04
E01007531,23.51
E01007532,66.72
E01007533,34.63
E01007534,9.14
E01007535,94.77
E01007536,22.65
E01007537,32.38
E01007538,32.92
E01007539,43.89
E01007540,40.54
E01007541,18.01
E01007542,16.52
E01007543,4.42
E01007544,48.16
E01007545,3.53
E01007546,20.8
E01007547,36.64
E01007548,34.73
E01007549,28.01
E01007550,8.14
E01007551,10.94
E01007552,14.18
E01007553,7.45
E01007554,10.58
E01007555,31.16
E01007556,20.91
E01007557,1.27
E01007558,56.19
E01007559,0.4
E01007560,8.95
E01007561,5.56
E01007562,15.78
E01007563,25.55
E01007564,52.48
E01007565,43.5
E01007566,13.79
E01007567,40.12
E01007568,67.51
E01007569,44.65
E01007570,46.43
E01007571,49.6
E01007572,36.93
E01007573,50.29
E01007574,39.49
E01007575,52.17
E01007576,60.02
E01007577,50.2
E01007578,31.32
E01007579,6.33
E01007580,19.1
E01007581,8.78
E01007582,51.28
E01007583,0.7
E01007584,18.62
E01007585,15.38
E01007586,2.53
E01007587,0.37
E01007588,13.29
E01007589,48.12
E01007590,33.72
E01007591,65.58
E01007592,52.78
E01007593,4.93
E01007594,4.13
E01007595,44.98
E01007596,7.73
E01007597,13.37
E01007598,21.85
E01007599,1.13
E01007600,5.38
E01007601,9.47
E01007602,3.64
E01007603,1.35
E01007604,46.63
E01007605,29.57
E01007606,4.7
E01007607,38.27
E01007608,4.19
E01007609,1.29
E01007610,11.8
E01007611,0.7
E01007612,1.06
E01007613,0.55
E01007614,0.98
E01007615,26.03
E01007616,27.11
E01007617,3.25
E01007618,18.54
E01007619,11.87
E01007620,3.15
E01007621,6.46
E01007622,26.26
E01007623,41.68
E01007624,4.42
E01007625,0.53
E01007626,3.03
E01007627,12.94
E01007628,61.39
E01007629,23.15
E01007630,2.31
E01007631,49.67
E01007632,0.45
E01007633,7.28
E01007634,20.4
E01007635,6.15
E01007636,35.91
E01007637,31.77
E01007638,40.25
E01007639,36.11
E01007640,4.91
E01007641,19.16
E01007642,28.0
E01007643,46.19
E01007644,7.33
E01007645,30.13
E01007646,56.33
E01007647,23.08
E01007648,77.53
E01007649,74.61
E01007650,16.93
E01007651,53.84
E01007652,10.23
E01007653,40.1
E01007654,45.43
E01007655,23.95
E01007656,10.79
E01007657,45.06
E01007658,5.01
E01007659,36.42
E01007660,8.41
E01007661,4.59
E01007662,50.99
E01007663,21.34
E01007664,1.8
E01007665,4.05
E01007666,2.48
E01007667,38.59
E01007668,58.99
E01007669,17.8
E01007670,3.82
E01007671,22.55
E01007672,48.33
E01007673,58.48
E01007674,10.2
E01007675,42.47
E01007676,4.87
E01007677,27.04
E01007678,9.89
E01007679,51.7
E01007680,40.13
E01007681,13.23
E01007682,62.02
E01007683,53.73
E01007684,35.71
E01007685,5.19
E01007686,35.56
E01007687,14.04
E01007688,42.08
E01007689,48.78
E01007690,5.31
E01007691,7.96
E01007692,4.08
E01007693,17.04
E01007694,29.61
E01007695,18.75
E01007697,49.04
E01007698,15.75
E01007699,8.49
E01007700,11.61
E01007701,4.96
E01007702,50.0
E01007703,58.24
E01007704,41.37
E01007705,35.99
E01007706,14.17
E01007707,32.04
E01007708,46.99
E01007709,46.22
E01007710,21.73
E01007711,45.83
E01007712,39.01
E01007713,37.06
E01007714,13.33
E01007715,37.72
E01007716,17.55
E01007717,30.55
E01007718,14.86
E01007719,34.61
E01007720,1.66
E01007721,10.58
E01007723,47.92
E01007724,6.16
E01007725,64.66
E01007726,55.56
E01007727,15.73
E01007728,4.37
E01007729,57.0
E01007730,35.45
E01007731,8.19
E01007732,20.36
E01007733,49.92
E01007734,65.7
E01007735,26.42
E01007736,12.65
E01007737,11.01
E01007738,56.76
E01007739,58.67
E01007740,39.78
E01007741,47.88
E01007742,46.65
E01007743,5.8
E01007744,31.72
E01007745,16.31
E01007747,16.3
E01007748,1.89
E01007749,20.32
E01007750,2.31
E01007751,3.98
E01007752,5.44
E01007754,18.89
E01007755,60.5
E01007756,45.13
E01007757,10.04
E01007758,38.19
E01007759,45.66
E01007760,50.67
E01007761,22.92
E01007762,23.87
E01007763,33.73
E01007764,1.18
E01007765,78.37
E01007766,64.5
E01007767,18.56
E01007768,52.71
E01007769,106.27
E01007770,65.24
E01007771,19.4
E01007772,7.11
E01007773,63.63
E01007774,18.59
E01007775,60.3
E01007776,13.54
E01007777,21.74
E01007778,12.15
E01007779,12.63
E01007780,18.88
E01007781,43.01
E01007782,24.65
E01007783,20.76
E01007784,12.7
E01007785,3.77
E01007786,40.98
E01007787,1.95
E01007788,0.92
E01007789,6.11
E01007790,30.89
E01007791,47.49
E01007792,29.16
E01007793,15.03
E01007794,60.13
E01007795,44.5
E01007796,57.54
E01007797,34.71
E01007798,31.6
E01007799,31.31
E01007800,14.45
E01007804,36.24
E01007805,48.69
E01007806,64.08
E01007807,42.36
E01007809,31.67
E01007810,5.18
E01007811,11.3
E01007812,56.64
E01007813,23.1
E01007814,1.34
E01007815,4.71
E01007816,7.84
E01007817,32.56
E01007818,12.14
E01007819,7.2
E01007820,4.77
E01007821,31.27
E01007822,21.34
E01007838,42.98
E01007839,45.72
E01007842,24.42
E01007903,6.83
E01007907,39.5
E01007908,60.06
E01007909,20.58
E01007910,17.45
E01007911,15.89
E01007912,57.06
E01007913,5.44
E01007914,58.37
E01007963,23.54
E01007964,36.77
E01007965,67.93
E01007966,19.63
E01007967,33.11
E01007968,34.44
E01007969,22.86
E01007970,23.37
E01007971,28.45
E01007972,24.41
E01007973,41.36
E01007974,15.18
E01008008,50.09
E01008020,69.34
E01008021,10.86
E01008022,77.99
E01008028,28.48
E01008029,30.14
E01008030,32.46
E01008031,52.33
E01008032,46.84
E01008033,20.24
E01008034,21.43
E01008035,24.05
E01008036,79.68
E01008037,23.85
E01008038,45.56
E01008039,26.09
E01008040,23.39
E01008041,13.02
E01011299,1.28
E01011394,4.77
E01011395,2.76
E01011740,36.83
E01011741,27.19
E01011742,48.97
E01011743,21.5
E01011744,23.92
E01011745,39.38
E01011746,4.68
E01011747,25.6
E01011748,35.27
E01011749,11.4
E01011750,52.51
E01011751,36.28
E01011752,10.27
E01011753,50.76
E01011754,36.38
E01011755,14.02
E01011756,51.94
E01011757,31.75
E01011758,3.46
E01011759,20.85
E01011760,20.27
E01011761,30.51
E01011762,81.96
E01011763,70.05
E01011764,36.95
E01011767,2.42
E01011768,29.62
E01011769,3.26
