geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E01016181,6,1,472,40,77,8,12,1,51
E01016184,21,21,998,85,99,4,16,2,42
E01016185,14,8,578,98,63,6,4,2,42
E01016186,11,7,688,57,132,4,11,3,62
E01016187,12,6,703,50,84,12,3,3,39
E01016188,10,6,826,34,84,5,5,4,36
E01016190,23,25,522,76,57,2,6,1,50
E01016191,29,22,601,58,30,8,5,2,44
E01016192,17,11,546,59,39,2,4,3,37
E01016193,12,16,668,43,31,8,0,0,24
E01016194,14,5,491,29,46,2,2,1,46
E01016195,17,14,575,34,38,1,1,1,24
E01016196,46,17,535,684,196,7,109,0,51
E01016197,22,16,519,50,43,8,1,1,29
E01016198,16,8,543,36,37,7,3,1,28
E01016199,13,9,566,48,54,2,6,1,41
E01016200,17,18,711,28,40,10,4,2,44
E01016201,15,15,698,32,40,10,3,3,62
E01016202,17,11,717,20,22,5,2,3,78
E01016203,10,25,544,36,27,3,5,4,25
E01016204,19,23,542,41,15,8,2,6,32
E01016205,14,39,611,55,19,8,4,2,36
E01016206,26,5,638,76,69,11,3,0,68
E01016207,18,8,570,115,48,12,1,0,23
E01016208,16,5,696,148,71,9,6,3,58
E01016209,30,26,581,53,29,4,2,4,40
E01016210,36,43,421,79,17,4,0,4,19
E01016212,23,47,511,50,22,9,2,1,16
E01016213,17,21,521,37,28,8,5,2,23
E01016214,19,11,613,33,51,6,3,6,28
E01016215,29,31,488,46,24,7,3,3,16
E01016216,15,24,586,51,24,8,2,2,22
E01016217,17,32,616,49,36,9,1,4,43
E01016218,22,21,613,47,23,1,5,4,24
E01016219,15,24,594,29,39,6,1,1,32
E01016220,26,39,617,41,33,12,1,6,28
E01016221,16,35,623,53,28,3,2,1,22
E01016222,12,8,602,15,64,4,4,1,76
E01016223,17,22,595,52,31,9,4,1,78
E01016224,21,24,634,82,36,9,3,3,53
E01016225,29,17,873,85,68,5,2,4,82
E01016226,20,13,526,58,24,4,4,8,64
E01016227,11,10,548,43,62,8,3,0,26
E01016228,10,8,626,44,75,6,3,2,42
E01016229,10,3,482,22,61,5,2,0,42
E01016230,30,2,373,122,51,2,5,0,28
E01016231,36,18,748,80,59,12,7,4,39
E01016232,17,23,586,68,22,7,1,9,32
E01016233,50,28,842,133,45,17,8,8,95
E01016234,5,10,610,27,26,10,4,0,23
E01016235,9,8,695,25,48,7,3,2,21
E01016236,24,32,632,52,26,9,5,1,14
E01016237,18,5,614,34,33,4,5,0,24
E01016238,17,14,417,72,32,4,6,4,25
E01016239,26,8,602,86,38,10,2,5,24
E01016240,25,8,550,124,24,6,5,8,44
E01016241,37,19,573,91,31,2,3,1,35
E01016242,27,17,625,140,34,3,2,4,31
E01016243,5,9,702,37,71,6,5,1,32
E01016245,14,7,1098,46,119,13,3,3,83
E01016246,8,3,780,27,64,6,6,0,43
E01016247,8,7,848,35,71,7,4,4,50
E01016248,25,20,543,103,32,6,5,7,30
E01016249,20,31,454,151,24,4,5,5,62
E01016250,24,17,562,139,33,0,3,4,45
E01016253,8,8,577,14,65,8,4,2,45
E01016254,9,12,492,54,98,3,3,1,44
E01016255,6,8,514,94,106,10,4,4,50
E01016256,12,10,622,39,125,1,5,0,89
E01016257,11,3,387,37,115,1,8,0,95
E01016258,19,87,557,36,48,2,2,0,30
E01016259,15,90,652,46,41,5,2,0,28
E01016260,14,87,666,38,38,1,4,2,28
E01016261,14,75,739,35,67,7,2,1,50
E01016262,17,59,477,42,30,6,4,0,29
