geocode,female,male
E01004766,797,795
E01004767,863,815
E01004768,796,805
E01004769,784,750
E01004770,762,703
E01004771,828,813
E01004772,910,821
E01004773,944,1018
E01004774,866,809
E01004784,633,628
E01004785,743,680
E01004786,766,687
E01004787,828,780
E01004788,731,661
E01004789,720,686
E01004790,731,701
E01004791,664,570
E01004792,754,711
E01004793,847,770
E01004794,935,840
E01004795,747,751
E01004796,753,741
E01004797,737,634
E01004798,862,790
E01004799,668,649
E01004800,659,644
E01004801,879,756
E01004802,927,882
E01004803,819,816
E01004804,725,727
E01004805,829,804
E01004806,776,739
E01004807,726,725
E01004808,834,809
E01004809,943,820
E01004810,828,769
E01004811,784,773
E01004812,890,958
E01004813,691,701
E01004814,724,732
E01004815,777,801
E01004816,812,776
E01004817,739,823
E01004818,752,837
E01004819,736,777
E01004820,793,808
E01004822,857,822
E01004823,867,865
E01004824,835,896
E01004825,777,864
E01004826,813,773
E01004827,795,820
E01004828,890,910
E01004829,678,693
E01004830,790,761
E01004832,771,761
E01004833,794,736
E01004834,744,870
E01004846,642,630
E01004847,1045,959
E01004848,770,923
E01004849,853,878
E01004850,787,956
E01004851,762,790
E01004852,804,808
E01004853,768,831
E01004854,748,783
E01004855,774,709
E01004856,690,732
E01004857,764,742
E01004858,798,802
E01004859,799,664
E01004860,774,713
E01004861,857,806
E01004862,719,655
E01004863,788,748
E01004864,792,758
E01004865,699,646
E01004866,890,851
E01004867,733,784
E01004868,843,836
E01004869,852,822
E01004870,860,1029
E01004871,772,857
E01004872,806,754
E01004873,908,854
E01004874,925,879
E01004875,812,778
E01004876,956,910
E01004877,893,899
E01004878,701,774
E01004879,777,683
E01004880,664,669
E01004902,844,835
E01004903,757,713
E01004904,813,810
E01004905,816,785
E01004906,837,847
E01004910,1056,1040
E01004911,786,780
E01004912,748,700
E01004913,978,982
E01004914,618,576
E01004915,665,675
E01004916,789,671
E01004917,1066,978
E01004918,639,664
E01004921,808,753
E01004922,876,866
E01004923,770,814
E01004924,774,764
E01004925,795,721
E01004926,732,570
E01004927,1055,1001
E01004928,725,683
E01004929,997,978
E01004930,781,736
E01004931,817,767
E01004932,779,755
E01004941,939,844
E01004942,817,704
E01004943,828,803
E01004944,829,786
E01004945,807,751
E01004946,881,743
E01004947,734,686
E01004948,942,922
E01004949,740,730
E01004950,784,726
E01004951,818,761
E01004952,705,674
E01004953,781,711
E01004954,751,713
E01004955,665,683
E01004956,768,766
E01004957,917,831
E01004958,662,738
E01004959,842,816
E01004960,772,742
E01004961,810,735
E01004962,842,828
E01004963,751,721
E01004964,939,894
E01004965,622,605
E01004966,932,845
E01004967,650,634
E01004968,805,771
E01004969,707,765
E01004970,802,770
E01004971,743,776
E01004976,809,738
E01004977,905,816
E01004978,845,843
E01004979,736,808
E01004980,636,650
E01004981,757,698
E01004982,722,727
E01004983,663,628
E01004984,722,645
E01004985,727,712
E01004986,870,768
E01004987,642,559
E01004988,773,665
E01004989,731,726
E01004990,750,767
E01004991,710,704
E01004992,753,728
E01004993,754,657
E01004994,655,652
E01004995,792,751
E01004996,741,703
E01004997,793,763
E01004998,764,700
E01004999,742,738
E01005000,783,772
E01005001,678,661
E01005002,835,755
E01005003,735,727
E01005004,740,718
E01005005,730,674
E01005006,791,728
E01005007,809,661
E01005008,955,911
E01005009,752,729
E01005010,852,769
E01005011,704,681
E01005012,866,845
E01005013,1195,1183
E01005014,727,735
E01005015,813,710
E01005016,772,745
E01005017,874,859
E01005018,770,733
E01005019,793,709
E01005020,734,731
E01005021,501,728
E01005022,801,796
E01005023,704,605
E01005024,738,709
E01005025,730,759
E01005026,814,815
E01005027,863,908
E01005028,925,938
E01005029,964,887
E01005030,804,786
E01005046,740,695
E01005047,773,702
E01005048,866,821
E01005049,852,843
E01005050,1038,1003
E01005051,835,739
E01005052,734,730
E01005053,771,759
E01005054,770,728
E01005055,754,739
E01005056,622,634
E01005057,808,752
E01005058,668,665
E01005059,867,840
E01005060,863,806
E01005327,1015,917
E01005329,752,774
E01005333,619,655
E01005334,765,749
E01005335,659,630
E01005336,789,787
E01005337,985,978
E01005338,943,848
E01005339,725,738
E01005340,762,673
E01005348,840,814
E01005349,1219,1205
E01005350,920,1091
E01005351,1010,976
E01005352,715,734
E01005353,899,1014
E01005354,879,885
E01005359,803,791
E01005360,733,669
E01005390,781,734
E01005391,787,806
E01005392,775,706
E01005393,664,607
E01005394,799,741
E01005395,728,711
E01005396,749,733
E01005398,824,724
E01005399,793,796
E01005400,762,741
E01005401,848,804
E01005402,796,737
E01005403,827,852
E01005433,815,700
E01005464,896,856
E01005465,881,835
E01005466,1167,1146
E01005467,933,789
E01005468,787,757
E01005469,923,881
E01005470,882,890
E01005471,834,772
E01005472,803,744
E01005473,760,753
E01005474,672,618
E01005475,828,837
E01005476,813,824
E01005477,874,802
E01005478,841,750
E01005479,921,840
E01005480,869,755
E01005481,942,785
E01005482,853,1203
E01005483,876,1006
E01005484,997,1122
E01005485,1057,1094
E01005486,819,787
E01005487,879,838
E01005488,805,788
E01005489,617,572
E01005490,588,925
E01005491,758,711
E01005492,797,760
E01005493,834,774
E01005494,920,830
E01005495,898,762
E01005496,681,673
E01005497,817,760
E01005498,760,704
E01005499,742,741
E01005500,843,765
E01005501,792,775
E01005502,801,733
E01005503,641,669
E01005504,788,720
E01005505,909,798
E01005506,806,786
E01005507,840,734
E01005508,952,914
E01005509,854,936
E01005510,588,560
E01005511,627,619
E01005512,757,788
E01005513,721,615
E01005514,771,739
E01005515,939,766
E01005524,766,723
E01005525,802,800
E01005526,811,773
E01005527,790,708
E01005528,769,730
E01005529,866,744
E01005530,749,688
E01005533,840,800
E01005534,750,743
E01005535,775,805
E01005536,850,753
E01005537,649,714
E01005538,799,710
E01005539,661,693
E01005540,680,654
E01005541,820,801
E01005542,688,638
E01005543,693,628
E01005546,641,596
E01005547,742,708
E01005548,628,656
E01005551,922,804
E01005552,1044,946
E01005553,957,874
E01005554,684,659
E01005555,671,695
E01005556,762,777
E01005559,806,780
E01005560,805,746
E01005563,913,898
E01005564,973,965
E01005565,796,768
E01005566,1159,989
E01005567,748,711
E01005568,819,855
E01005569,827,808
E01005570,667,608
E01005571,799,766
E01005572,839,808
E01005573,756,746
E01005574,832,845
E01005575,837,799
E01005576,755,762
E01005577,767,715
E01005578,724,720
E01005579,856,818
E01005580,809,771
E01005581,795,793
E01005583,845,844
E01005585,686,733
E01005586,776,747
E01005587,758,709
E01005588,750,627
E01005589,773,749
E01005590,846,806
E01005591,785,641
E01005592,847,763
E01005593,813,733
E01005594,742,713
E01005595,741,679
E01005596,955,970
E01005597,829,771
E01005598,793,769
E01010986,860,830
E01010987,964,827
E01012571,718,756
E01012576,738,888
E01012592,974,950
E01012614,867,878
E01012615,765,730
E01012616,887,895
E01012617,718,675
E01012632,1051,1039
E01012637,819,764
E01012638,817,845
E01012640,864,887
E01012641,900,812
E01012646,854,815
