geocode,asian,black,mixed,other,white
E01004907,18,7,21,5,1250
E01004908,52,6,5,7,1277
E01004909,13,8,15,4,1371
E01004972,115,31,34,18,1287
E01004973,94,20,38,9,1364
E01004974,89,12,40,21,1265
E01004975,72,27,52,12,1358
E01005031,98,30,26,10,1299
E01005032,61,48,36,10,1101
E01005033,144,6,31,24,1323
E01005034,56,15,23,3,1360
E01005035,28,5,46,3,1320
E01005036,142,28,39,32,1575
E01005037,75,21,18,11,1297
E01005038,139,29,46,5,1128
E01005039,67,26,25,13,1355
E01005040,456,35,59,58,1204
E01005041,353,30,39,39,1153
E01005042,145,16,28,49,1664
E01005043,213,11,31,86,1531
E01005044,142,7,39,57,1548
E01005045,103,30,41,11,1414
E01005061,254,538,151,65,640
E01005062,1115,345,167,205,1061
E01005063,367,388,111,84,536
E01005065,522,520,159,212,818
E01005066,584,254,68,96,698
E01005067,105,225,77,28,927
E01005068,55,53,59,12,1399
E01005069,75,20,32,22,1298
E01005070,111,98,49,40,1384
E01005071,71,62,43,12,1404
E01005072,103,47,94,12,1447
E01005073,103,39,55,19,1276
E01005074,81,65,77,7,1292
E01005075,57,48,64,15,1206
E01005076,84,18,54,22,1305
E01005077,148,160,135,87,1028
E01005078,159,24,46,38,1186
E01005079,178,53,56,41,1237
E01005081,129,242,202,70,1127
E01005082,162,75,150,29,1132
E01005083,147,28,73,48,1414
E01005084,172,83,115,54,1594
E01005085,84,107,63,22,1291
E01005086,137,91,68,30,1485
E01005087,50,147,93,22,1771
E01005088,65,118,79,13,1433
E01005089,181,85,86,38,1530
E01005090,45,85,78,32,1357
E01005091,209,127,78,17,1728
E01005092,98,286,46,25,1174
E01005093,116,218,76,22,1292
E01005094,79,182,58,20,1124
E01005097,72,299,101,13,1246
E01005098,46,50,41,11,1374
E01005099,117,189,65,12,1436
E01005100,57,57,39,5,1430
E01005101,55,96,46,23,1484
E01005102,4,10,24,5,1315
E01005103,52,83,50,2,1453
E01005104,125,227,81,48,1308
E01005105,486,302,82,36,1054
E01005106,216,323,117,23,1198
E01005107,90,389,133,28,1163
E01005108,167,590,136,22,1715
E01005111,28,32,48,16,1281
E01005112,96,97,75,16,1376
E01005113,48,55,54,11,1405
E01005114,149,27,38,23,1531
E01005115,157,62,79,37,1539
E01005116,111,53,53,15,1732
E01005117,112,94,127,43,1683
E01005118,595,35,28,53,796
E01005119,240,58,73,55,1105
E01005120,562,72,86,43,1086
E01005121,343,54,81,65,1051
E01005122,297,102,70,33,1179
E01005123,283,86,120,85,1127
E01005124,249,94,125,47,1219
E01005125,246,67,104,35,1144
E01005126,478,54,92,44,1366
E01005128,654,38,36,108,874
E01005129,168,207,65,20,1001
E01005130,140,171,79,49,1042
E01005132,109,192,65,6,1108
E01005133,110,84,46,24,1011
E01005135,88,137,56,38,1302
E01005136,26,27,46,7,1400
E01005138,66,171,63,13,1442
E01005139,105,89,48,3,1481
E01005140,215,136,105,76,2272
E01005141,22,104,58,16,1538
E01005142,762,297,153,132,568
E01005143,1857,260,70,118,297
E01005145,1809,177,80,275,370
E01005146,1190,154,85,132,800
E01005147,813,504,210,183,828
E01005149,1368,51,49,86,189
E01005150,127,36,93,35,1579
E01005151,151,32,47,6,1249
E01005152,89,25,55,13,1271
E01005153,62,28,60,15,1498
E01005154,84,50,80,41,1326
E01005155,30,12,43,7,1319
E01005156,76,26,72,3,1319
E01005157,60,23,50,8,1450
E01005158,167,64,90,32,1158
E01005159,176,40,42,22,1305
E01005160,617,41,43,65,1003
E01005161,340,47,56,24,1087
E01005162,480,43,56,51,1080
E01005163,523,65,55,75,933
E01005164,498,134,78,96,765
E01005165,714,141,134,107,1013
E01005166,952,132,71,105,602
E01005167,1059,164,96,209,457
E01005168,187,28,53,9,1111
E01005169,153,37,39,17,1121
E01005170,314,39,78,83,1017
E01005171,378,54,61,95,1109
E01005172,116,21,53,59,1351
E01005173,127,14,55,27,1324
E01005174,122,23,49,12,1364
E01005175,121,35,44,29,1376
E01005176,87,28,63,41,1587
E01005177,67,19,34,30,1189
E01005178,351,214,123,148,1132
E01005179,698,163,129,140,1105
E01005180,351,141,174,105,1076
E01005181,926,96,99,146,873
E01005182,431,275,143,110,651
E01005183,326,248,147,115,943
E01005184,363,74,91,167,1426
E01005185,329,84,165,70,3376
E01005186,400,423,92,29,1432
E01005187,142,358,80,35,1311
E01005188,80,164,73,4,1393
E01005189,73,203,72,17,1326
E01005190,101,326,91,16,1483
E01005191,68,210,78,19,1282
E01005192,112,136,63,16,1257
E01005193,124,160,74,21,1419
E01005194,1404,236,83,91,775
E01005195,227,315,107,21,1316
E01005196,227,552,169,34,1394
E01005197,124,183,82,15,1162
E01005198,270,240,104,43,913
E01005199,947,219,86,37,984
E01005200,416,128,129,30,1128
E01005201,364,502,129,60,961
E01005202,110,218,66,5,1379
E01005203,204,282,115,49,1255
E01005205,165,219,82,19,1502
E01005206,190,108,66,18,1311
E01005207,156,335,80,56,1288
E01005208,399,425,194,184,1136
E01005209,641,546,156,151,1205
E01005210,1184,302,176,134,1448
E01005212,270,239,146,79,1376
E01005213,207,483,176,118,1205
E01005214,349,401,176,124,1229
E01005215,654,150,88,141,971
E01005216,347,83,54,44,998
E01005217,647,71,85,58,1044
E01005218,559,48,63,24,989
E01005219,624,121,108,79,1141
E01005220,549,137,94,51,1018
E01005221,917,187,110,88,946
E01005222,431,195,197,56,1223
E01005223,75,108,30,13,1008
E01005224,192,438,102,14,1073
E01005225,59,203,59,22,1504
E01005226,96,259,64,12,1168
E01005227,122,242,59,22,1240
E01005228,70,258,101,24,1238
E01005229,14,18,38,9,1460
E01005230,671,217,105,127,949
E01005231,596,232,99,115,1584
E01005232,913,186,108,69,591
E01005233,1419,238,106,71,569
E01005234,1401,191,93,54,307
E01005235,590,231,105,85,749
E01005236,974,170,101,104,712
E01005237,1509,146,59,44,236
E01005238,1475,230,65,56,283
E01005239,481,532,141,109,499
E01005240,405,1058,232,176,784
E01005241,478,303,166,158,1323
E01005242,700,722,181,204,796
E01005243,266,1233,220,163,581
E01005244,709,641,177,230,1181
E01005245,252,1352,223,152,431
E01005246,263,1212,164,167,333
E01005247,34,27,25,3,1365
E01005248,142,69,32,11,1115
E01005249,121,83,67,7,1568
E01005250,47,218,72,6,1438
E01005251,39,103,55,13,1384
E01005252,35,81,37,4,1677
E01005253,23,90,49,9,1414
E01005254,21,14,20,1,1542
E01005255,45,161,62,24,1317
E01005256,104,230,112,17,1532
E01005257,81,170,95,12,1440
E01005258,51,42,32,22,1560
