geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E01000650,562,6,54,127,1
E01000651,488,7,63,71,2
E01000652,595,6,36,20,2
E01000654,449,2,26,5,4
E01000655,438,5,29,18,4
E01000656,489,4,16,6,2
E01000657,500,7,57,93,17
E01000658,508,5,22,13,2
E01000659,488,1,23,8,0
E01000661,228,10,49,381,3
E01000662,490,3,39,128,20
E01000663,437,12,26,184,1
E01000664,450,5,28,128,1
E01000665,601,6,93,42,15
E01000666,691,7,73,5,0
E01000667,593,2,20,7,0
E01000668,487,8,141,55,0
E01000669,566,5,118,45,6
E01000670,526,9,244,84,1
E01000671,492,8,159,97,28
E01000679,538,5,93,19,7
E01000680,566,7,55,16,2
E01000681,624,3,24,3,0
E01000682,600,4,36,2,0
E01000683,563,4,80,53,5
E01000684,688,6,52,9,2
E01000685,479,2,49,83,5
E01000686,513,6,34,78,17
E01000687,576,3,62,13,2
E01000688,463,5,23,13,0
E01000698,420,5,8,6,0
E01000719,465,8,109,212,59
E01000720,349,5,90,219,5
E01000721,175,4,33,301,11
E01000722,492,7,111,87,7
E01000723,517,6,24,12,2
E01000724,257,3,32,381,1
E01000725,405,9,122,233,6
E01000726,489,5,72,15,9
E01000727,523,5,77,78,4
E01000730,231,5,45,355,13
E01000731,352,4,29,141,6
E01000732,472,6,25,83,1
E01000733,457,3,36,137,18
E01000734,400,1,51,53,2
E01000747,580,6,118,55,14
E01000748,596,18,41,12,3
E01000749,550,6,36,47,0
E01000750,278,6,21,358,2
E01000751,665,6,80,51,5
E01000752,647,6,67,57,1
E01000753,685,10,48,6,1
E01000754,640,5,83,12,3
E01000755,567,3,38,7,0
E01000756,537,9,36,12,0
E01000757,578,5,14,3,1
E01000758,520,7,26,36,2
E01000759,512,4,26,6,1
E01000760,466,7,63,14,0
E01000761,548,3,24,2,0
E01000762,597,5,119,16,6
E01000763,499,2,18,3,1
E01000764,526,0,22,84,1
E01000765,557,7,94,19,2
E01000766,628,3,11,3,0
E01000767,567,3,25,3,0
E01000768,493,8,72,39,1
E01000786,576,4,20,27,0
E01000787,508,2,52,99,6
E01000788,461,5,45,89,18
E01000789,149,6,41,448,13
E01000790,521,8,225,95,23
E01000791,537,5,29,47,3
E01000792,382,1,31,61,8
E01000793,607,2,23,10,1
E01000794,577,4,20,9,1
E01000795,401,2,22,116,1
E01000807,483,5,89,17,1
E01000808,555,9,25,36,0
E01000809,585,9,26,9,0
E01000810,569,3,26,1,0
E01000811,478,3,84,5,1
E01000812,515,6,69,71,2
E01000813,594,10,27,5,1
E01000814,544,1,18,0,1
E01000815,542,3,13,2,2
E01000827,604,7,142,36,1
E01000831,586,5,118,77,3
E01000834,428,4,22,5,2
E01024158,493,11,92,49,5
E01024159,608,4,27,8,0
E01024160,518,5,25,2,0
E01024413,450,3,131,127,8
E01024414,495,4,69,29,9
E01024415,475,1,19,10,2
E01024416,495,17,71,35,3
E01024417,425,13,86,125,1
E01024418,438,3,29,37,7
E01024419,571,16,120,22,2
E01024421,571,11,89,121,9
E01024422,476,13,124,99,57
E01024423,489,7,189,64,9
E01024424,427,7,39,13,0
E01024425,477,12,103,101,31
E01024426,645,11,85,17,12
E01024427,300,8,23,172,5
E01024428,369,0,31,112,20
E01024429,316,10,64,226,35
E01024430,461,9,82,32,16
E01024431,646,10,72,67,4
E01024432,453,13,46,90,9
E01024433,425,12,59,37,19
E01024435,497,7,46,24,5
E01024436,625,4,31,22,18
E01024437,449,9,44,97,4
E01024438,561,5,39,8,10
E01024439,523,3,36,64,2
E01024440,587,18,137,27,0
E01024441,601,6,16,7,0
E01024442,537,15,33,9,2
E01024443,593,15,22,8,16
E01024444,277,4,44,189,11
E01024448,391,6,36,56,15
E01024449,505,4,19,25,10
E01024450,457,9,43,97,15
E01024451,551,18,157,138,9
E01024452,413,12,82,80,3
E01024453,587,8,33,12,4
E01024454,476,6,32,93,11
E01024455,321,19,75,55,2
E01024457,291,7,33,152,36
E01024458,408,17,88,10,3
E01024459,460,20,80,76,1
E01024460,392,13,64,186,14
E01024461,708,16,204,111,10
E01024462,467,12,38,140,2
E01024463,448,18,36,17,0
E01024464,486,12,52,20,7
E01024465,337,5,120,108,47
E01024466,302,1,45,151,27
E01024467,557,1,59,23,5
E01024468,443,5,123,50,8
E01024469,401,20,270,16,2
E01024470,460,2,115,65,0
E01024471,395,38,161,145,2
E01024472,377,11,40,90,8
E01024473,543,4,46,34,10
E01024474,439,4,23,3,3
E01024475,484,7,77,49,6
E01024476,211,12,25,324,21
E01024477,280,19,32,265,18
E01024483,497,15,133,32,5
E01024484,393,22,60,23,2
E01024485,412,11,49,213,17
E01024723,480,16,72,56,1
E01024724,657,7,63,40,2
E01024725,530,5,97,12,12
E01024726,490,12,63,169,4
E01024729,415,11,15,258,13
E01024730,471,4,22,44,7
E01024731,440,6,12,13,1
E01024732,356,16,231,47,12
E01024733,505,13,151,27,8
E01024734,516,6,50,92,2
E01024745,572,17,79,43,12
E01024747,314,13,40,273,6
E01024748,496,3,22,11,2
E01024749,312,11,23,271,5
E01024750,478,5,19,125,3
E01024751,603,3,31,9,1
E01024752,584,6,35,14,0
E01024753,510,13,33,62,3
E01024754,504,10,60,46,4
E01024755,652,19,57,33,2
E01024756,312,5,142,156,24
E01024757,485,9,130,52,8
E01024758,433,5,70,101,16
E01024766,500,15,153,193,54
E01024767,267,6,28,239,6
E01024768,537,11,158,26,12
E01024775,231,4,27,362,17
E01024776,275,2,14,212,6
E01024777,260,6,16,222,3
E01024778,466,3,140,15,26
E01024779,444,14,176,134,7
E01024780,349,4,73,168,4
E01024786,497,11,69,202,3
E01030831,751,9,94,21,0
E01030832,438,11,60,44,2
E01030840,410,2,41,118,1
E01030841,447,2,20,20,0
E01030842,441,2,42,190,12
E01030843,365,9,64,169,3
E01032570,566,10,51,37,5
E01032571,595,22,66,51,5
E01032619,551,5,64,12,4
