geocode,bad,fair,good
E01016016,103,214,1204
E01016017,128,224,1224
E01016018,79,225,1682
E01016019,84,189,1593
E01016020,69,159,1016
E01016021,67,208,1252
E01016022,55,153,1219
E01016023,109,241,1336
E01016024,86,258,1614
E01016025,179,269,1174
E01016026,47,144,1067
E01016027,32,176,1320
E01016028,66,193,1098
E01016029,51,191,1063
E01016030,138,235,1486
E01016031,112,293,1347
E01016032,103,179,1044
E01016033,101,182,862
E01016034,96,270,2202
E01016035,100,177,1585
E01016036,82,248,2121
E01016037,76,209,1424
E01016038,93,213,1206
E01016039,77,225,1368
E01016040,92,241,1431
E01016041,89,246,1325
E01016042,65,205,1240
E01016043,76,233,1107
E01016044,92,216,1396
E01016045,76,176,1414
E01016046,89,215,1224
E01016047,96,180,1449
E01016048,88,189,1422
E01016049,111,272,1539
E01016050,56,176,1466
E01016051,53,172,1374
E01016052,54,205,1425
E01016053,73,255,1220
E01016054,47,154,1273
E01016055,91,220,1241
E01016056,48,163,1180
E01016057,65,195,1452
E01016058,54,179,1240
E01016059,76,169,1099
E01016060,59,191,1357
E01016061,65,208,1422
E01016062,85,211,1209
E01016063,141,274,1218
E01016064,117,243,1206
E01016065,84,213,1113
E01016066,105,207,1178
E01016067,95,251,1265
E01016068,122,268,1269
E01016069,105,266,1439
E01016078,39,124,1354
E01016079,42,147,1164
E01016080,68,154,1291
E01016081,39,136,1436
E01016082,51,139,1397
E01016083,135,236,963
E01016084,66,182,1270
E01016085,62,207,1346
E01016086,44,168,1088
E01016087,55,237,1389
E01016088,82,217,1215
E01016089,82,208,1290
E01016090,60,200,1235
E01016091,67,216,1231
E01016092,58,209,1286
E01016093,73,218,1257
E01016094,53,187,1216
E01016095,34,135,1134
E01016096,74,253,1103
E01016097,76,204,1168
E01016098,85,208,1085
E01016099,54,167,1305
E01016100,83,192,1258
E01016101,33,126,1311
E01016102,114,220,1111
E01016103,35,161,1262
E01016104,25,122,1281
E01016105,74,237,1105
E01016106,60,217,1173
E01016107,30,129,1388
E01016110,104,222,1746
E01016111,126,198,920
E01016113,81,197,1208
E01016114,68,220,1296
E01016115,100,235,1609
E01016116,100,301,1431
E01016117,124,271,1369
E01016118,61,248,1432
E01016119,124,201,1197
E01016120,93,215,1066
E01016121,75,216,1244
E01016122,77,241,1211
E01016123,67,205,1302
E01016124,74,210,1406
E01016125,67,224,1472
E01016126,65,188,1438
E01016127,61,220,1238
E01016128,124,305,1639
E01016129,70,187,1667
E01016130,80,220,1591
E01016131,83,194,1458
E01016132,41,163,1438
E01016136,95,203,1269
E01016139,64,186,1433
E01016140,103,189,1135
E01016141,68,214,1405
E01016150,91,207,1307
E01016151,75,212,1330
E01016152,120,237,1127
E01016153,103,218,1112
E01016154,97,182,1327
E01016155,94,263,1196
E01016156,57,188,1432
E01016157,103,213,1642
E01016158,99,269,1775
E01016159,79,202,1100
E01016160,161,249,1064
E01016161,167,276,1100
E01016162,62,224,1360
E01016163,75,199,1057
E01016164,114,279,1102
E01016165,90,171,1039
E01016166,90,187,1173
E01016167,69,187,1172
E01016168,114,214,1228
E01016169,57,189,1463
E01016170,64,180,1395
E01016171,101,271,1206
E01016172,45,184,1219
