geocode,all
E01015023,40
E01015024,41
E01015025,55
E01015026,34
E01015027,43
E01015028,33
E01015029,32
E01015030,38
E01015031,30
E01015032,23
E01015033,45
E01015034,45
E01015035,41
E01015036,43
E01015037,45
E01015038,42
E01015039,30
E01015040,36
E01015041,33
E01015042,33
E01015043,30
E01015044,38
E01015045,30
E01015046,34
E01015047,30
E01015048,31
E01015049,23
E01015050,22
E01015051,21
E01015052,23
E01015053,22
E01015054,20
E01015055,40
E01015056,45
E01015057,35
E01015058,30
E01015059,35
E01015060,35
E01015061,29
E01015062,23
E01015063,38
E01015064,52
E01015065,42
E01015066,42
E01015067,52
E01015068,38
E01015069,38
E01015070,36
E01015071,44
E01015072,37
E01015073,41
E01015074,40
E01015075,40
E01015076,42
E01015077,44
E01015078,37
E01015079,45
E01015080,27
E01015081,39
E01015082,38
E01015083,42
E01015084,43
E01015085,44
E01015086,43
E01015087,32
E01015088,28
E01015089,42
E01015090,45
E01015091,48
E01015092,26
E01015093,46
E01015094,42
E01015095,47
E01015096,42
E01015097,60
E01015098,36
E01015099,37
E01015100,34
E01015101,48
E01015102,37
E01015103,38
E01015104,42
E01015105,40
E01015106,43
E01015107,35
E01015108,33
E01015109,40
E01015110,43
E01015111,33
E01015112,41
E01015113,44
E01015114,44
E01015115,50
E01015116,43
E01015117,43
E01015118,42
E01015119,37
E01015120,45
E01015121,48
E01015122,44
E01015123,52
E01015124,48
E01015125,44
E01015126,57
E01015127,47
E01015128,48
E01015129,35
E01015130,36
E01015131,55
E01015132,47
E01015133,51
E01015134,43
E01015135,43
E01015136,43
E01015137,43
E01015138,49
E01015139,46
E01015140,45
E01015141,47
E01015142,44
E01015143,45
E01015144,35
E01015145,23
E01015146,30
E01015147,46
E01015148,35
E01015149,39
E01015150,48
E01015151,28
E01015152,30
E01015153,33
E01015155,33
E01015156,33
E01015157,37
E01015158,39
E01015159,49
E01015160,49
E01015161,41
E01015162,41
E01015163,45
E01015164,33
E01015165,33
E01015166,32
E01015167,36
E01015168,34
E01015169,29
E01015170,39
E01015171,40
E01015172,34
E01015173,38
E01015174,40
E01015175,31
E01015176,39
E01015177,32
E01015178,26
E01015179,25
E01015180,32
E01015181,30
E01015182,33
E01015183,51
E01015184,62
E01015185,52
E01015186,46
E01015187,60
E01015188,53
E01015189,48
E01015190,45
E01015191,36
E01015192,38
E01015193,45
E01015194,43
E01015195,44
E01015196,33
E01015197,58
E01015198,58
E01015199,63
E01015200,46
E01015201,54
E01015202,42
E01015203,49
E01015204,43
E01015205,45
E01015206,45
E01015207,42
E01015208,58
E01015209,46
E01015210,39
E01015211,45
E01015212,39
E01015213,41
E01015214,34
E01015215,41
E01015216,37
E01015217,37
E01015218,43
E01015219,52
E01015220,50
E01015221,45
E01015222,49
E01015223,44
E01015224,44
E01015225,46
E01015226,51
E01015227,48
E01015228,51
E01015229,51
E01015230,57
E01015231,41
E01015232,49
E01015233,45
E01015234,40
E01015235,60
E01015236,47
E01015237,38
E01015238,44
E01015239,53
E01015240,59
E01015241,42
E01015242,39
E01015243,52
E01015244,50
E01015245,51
E01015246,52
E01015247,45
E01015248,43
E01015249,40
