geocode,all
E02000984,42
E02000985,46
E02000986,41
E02000987,41
E02000988,36
E02000989,48
E02000990,41
E02000991,41
E02000992,44
E02000993,33
E02000994,32
E02000995,41
E02000996,36
E02000997,44
E02000998,31
E02000999,34
E02001000,38
E02001001,36
E02001002,39
E02001003,46
E02001004,31
E02001005,31
E02001006,30
E02001007,42
E02001008,29
E02001009,39
E02001010,33
E02001011,41
E02001012,36
E02001013,43
E02001014,39
E02001015,41
E02001016,34
E02001017,38
E02001018,39
E02001019,40
E02001020,49
E02001021,43
E02001022,43
E02001023,40
E02001024,41
E02001025,37
E02001026,31
E02001027,36
E02001028,49
E02001029,35
E02001030,43
E02001031,40
E02001032,40
E02001033,35
E02001034,37
E02001035,45
E02001036,36
E02001037,45
E02001038,40
E02001039,35
E02001040,44
E02001041,37
E02001042,41
E02001043,40
E02001044,30
E02001045,38
E02001046,34
E02001047,36
E02001048,34
E02001049,39
E02001050,33
E02001051,36
E02001052,29
E02001053,32
E02001055,35
E02001056,32
E02001057,29
E02001059,30
E02001061,34
E02001062,25
E02001063,23
E02001064,31
E02001065,34
E02001066,22
E02001067,30
E02001068,26
E02001069,24
E02001070,22
E02001071,28
E02001072,31
E02001073,33
E02001074,30
E02001075,30
E02001076,21
E02001077,33
E02001078,33
E02001079,27
E02001080,22
E02001081,35
E02001082,28
E02001083,29
E02001084,28
E02001085,32
E02001086,33
E02001087,35
E02001088,34
E02001089,36
E02001090,41
E02001091,39
E02001092,34
E02001093,31
E02001094,31
E02001095,34
E02001096,38
E02001097,35
E02001098,46
E02001099,40
E02001100,44
E02001101,44
E02001102,40
E02001103,46
E02001104,37
E02001105,44
E02001106,42
E02001107,37
E02001108,33
E02001109,38
E02001110,46
E02001111,32
E02001112,44
E02001113,24
E02001114,38
E02001115,40
E02001116,30
E02001117,45
E02001118,43
E02001119,25
E02001121,27
E02001123,34
E02001124,36
E02001125,39
E02001126,33
E02001127,33
E02001128,39
E02001129,36
E02001130,44
E02001131,44
E02001132,40
E02001133,41
E02001134,43
E02001135,31
E02001136,40
E02001137,41
E02001138,44
E02001139,28
E02001140,35
E02001141,31
E02001142,46
E02001143,31
E02001144,39
E02001145,41
E02001146,29
E02001147,36
E02001148,40
E02001149,38
E02001150,38
E02001151,40
E02001152,38
E02001153,37
E02001154,37
E02001155,41
E02001156,44
E02001157,33
E02001158,37
E02001159,35
E02001160,35
E02001161,40
E02001162,42
E02001163,43
E02001164,32
E02001165,38
E02001166,27
E02001167,34
E02001168,39
E02001169,42
E02001170,43
E02001171,43
E02001172,30
E02001173,26
E02001174,38
E02001175,36
E02001176,40
E02001177,36
E02001178,28
E02001179,34
E02001180,31
E02001181,35
E02001182,36
E02001183,35
E02001184,29
E02001185,38
E02001186,37
E02001187,39
E02001188,33
E02001189,40
E02001190,31
E02001191,46
E02001192,40
E02001193,38
E02001194,44
E02001195,40
E02001196,46
E02001197,41
E02001198,42
E02001199,40
E02001200,40
E02001201,38
E02001202,33
E02001203,48
E02001204,37
E02001205,38
E02001206,46
E02001207,44
E02001208,38
E02001209,37
E02001210,40
E02001211,42
E02001212,32
E02001213,42
E02001214,45
E02001215,47
E02001216,44
E02001217,38
E02001218,44
E02001219,46
E02001220,43
E02001221,46
E02001222,45
E02001223,46
E02001224,51
E02001225,43
E02001226,41
E02001227,48
E02001228,47
E02001229,40
E02001230,44
E02001231,38
E02001232,37
E02001233,41
E02001234,37
E02001235,38
E02001236,36
E02001237,36
E02001238,42
E02001239,39
E02001240,40
E02001241,32
E02001242,43
E02001243,43
E02001244,43
E02001245,37
E02001246,41
E02001247,39
E02001248,34
E02001249,39
E02001250,42
E02001251,45
E02001252,45
E02001253,40
E02001254,41
E02001255,37
E02001256,33
E02001257,43
E02001258,44
E02001259,31
E02001260,42
E02001261,33
E02001262,34
E02001263,44
E02001264,38
E02001265,41
E02001266,40
E02001267,41
E02001268,45
E02001269,37
E02001270,38
E02001271,41
E02001272,41
E02001273,38
E02001274,47
E02001275,35
E02001276,39
E02001277,33
E02001278,40
E02001279,42
E02001280,40
E02001281,43
E02001282,36
E02001283,43
E02001284,40
E02001285,44
E02001286,46
E02001287,42
E02001288,44
E02001289,44
E02001290,44
E02001291,40
E02001292,44
E02001293,43
E02001294,38
E02001295,41
E02001296,31
E02001297,41
E02001298,34
E02001299,39
E02001300,40
E02001301,37
E02001302,40
E02001303,36
E02001304,44
E02001305,42
E02001306,43
E02001307,40
E02001308,43
E02001309,39
E02001310,35
E02001311,39
E02001312,36
E02001313,38
E02001314,39
E02001315,43
E02001316,35
E02001317,41
E02001318,43
E02001319,39
E02001320,40
E02001321,39
E02001322,44
E02001323,41
E02001324,38
E02001325,43
E02001326,43
E02001333,40
E02001335,40
E02001339,38
E02001406,50
E02001407,48
E02001408,44
E02001409,43
E02001410,41
E02001411,41
E02001412,42
E02001413,43
E02001414,49
E02001415,36
E02001416,36
E02001417,38
E02001418,37
E02001419,38
E02001420,39
E02001421,40
E02001422,34
E02001423,46
E02001424,38
E02001425,42
E02001426,46
E02001427,38
E02001428,50
E02001509,43
E02001510,41
E02001511,42
E02001512,43
E02001513,43
E02001515,38
E02001516,37
E02001517,44
E02001518,40
E02001519,39
E02001520,46
E02001521,35
E02001523,39
E02001524,48
E02001525,40
E02001526,37
E02001527,43
E02001529,42
E02001531,40
E02001532,42
E02001535,46
E02001536,44
E02001537,39
E02001538,43
E02001584,45
E02001611,43
E02001612,43
E02001613,43
E02001614,43
E02001615,48
E02001616,43
E02001617,32
E02001618,42
E02001619,39
E02001620,34
E02001621,35
E02001622,37
E02001623,35
E02001624,36
E02001625,35
E02001626,40
E02001627,34
E02001629,37
E02001630,29
E02001631,39
E02001632,27
E02001633,47
E02001634,35
E02001635,45
E02001636,31
E02001637,28
E02001638,22
E02001639,31
E02001640,22
E02001643,46
E02001646,21
E02001648,21
E02001649,33
E02001650,23
E02001651,46
E02001652,22
E02001653,32
E02001656,30
E02001657,38
E02001658,34
E02001660,33
E02001661,37
E02001662,43
E02001663,35
E02001664,43
E02001665,46
E02001669,38
E02001670,38
E02001672,45
E02001674,47
E02001676,45
E02002183,49
E02002184,46
E02002185,43
E02002186,44
E02002187,46
E02002188,42
E02002189,34
E02002190,30
E02002191,31
E02002192,46
E02002193,37
E02002194,41
E02002195,46
E02002196,40
E02002197,38
E02002198,44
E02002199,42
E02002200,42
E02002201,39
E02002202,36
E02002203,36
E02002204,44
E02002205,43
E02002206,38
E02002207,30
E02002208,37
E02002209,31
E02002210,37
E02002211,31
E02002212,29
E02002213,42
E02002214,37
E02002215,27
E02002216,29
E02002217,29
E02002218,34
E02002219,26
E02002220,27
E02002221,26
E02002222,33
E02002223,26
E02002224,25
E02002225,40
E02002226,23
E02002227,28
E02002228,31
E02002229,38
E02002230,27
E02002231,31
E02002232,32
E02002233,26
E02002234,30
E02002235,29
E02002236,39
E02002237,35
E02002238,36
E02002239,35
E02002240,40
E02002241,36
E02002242,42
E02002243,40
E02002244,43
E02002245,35
E02002246,45
E02002247,44
E02002248,38
E02002249,35
E02002250,44
E02002251,40
E02002252,44
E02002253,30
E02002254,46
E02002255,28
E02002256,41
E02002257,28
E02002258,42
E02002259,39
E02002260,40
E02002261,40
E02002262,43
E02002263,42
E02002264,43
E02002265,43
E02002266,43
E02002267,42
E02002268,40
E02002269,41
E02002270,41
E02002271,42
E02002272,40
E02002273,42
E02002274,40
E02002275,40
E02002276,40
E02002277,36
E02002278,40
E02002279,39
E02002280,31
E02002281,35
E02002282,30
E02002283,30
E02002284,42
E02002285,42
E02002286,32
E02002287,32
E02002288,36
E02002289,27
E02002290,46
E02002291,43
E02002292,42
E02002293,27
E02002294,29
E02002295,32
E02002296,44
E02002297,41
E02002298,43
E02002299,30
E02002300,43
E02002301,30
E02002302,41
E02002303,40
E02002304,34
E02002305,34
E02002306,44
E02002307,41
E02002308,39
E02002309,32
E02002310,37
E02002311,40
E02002312,25
E02002313,28
E02002314,44
E02002315,35
E02002316,44
E02002317,35
E02002318,42
E02002319,40
E02002320,45
E02002321,38
E02002322,43
E02002323,44
E02002324,44
E02002325,43
E02002326,42
E02002327,43
E02002328,45
E02002329,43
E02002332,44
E02002333,45
E02002335,46
E02002336,46
E02002337,42
E02002338,41
E02002339,40
E02002340,44
E02002341,44
E02002342,45
E02002343,40
E02002344,42
E02002345,47
E02002346,39
E02002347,38
E02002348,41
E02002349,40
E02002350,43
E02002351,47
E02002352,39
E02002353,37
E02002354,40
E02002356,41
E02002357,37
E02002358,41
E02002360,35
E02002361,38
E02002362,36
E02002363,35
E02002364,38
E02002366,37
E02002367,32
E02002368,40
E02002369,36
E02002370,34
E02002371,33
E02002373,21
E02002374,31
E02002375,27
E02002376,28
E02002377,27
E02002379,29
E02002380,41
E02002381,36
E02002382,28
E02002383,21
E02002384,24
E02002385,25
E02002386,47
E02002387,34
E02002388,33
E02002389,35
E02002390,39
E02002391,37
E02002392,21
E02002393,30
E02002394,32
E02002395,38
E02002396,36
E02002397,39
E02002398,45
E02002399,34
E02002400,32
E02002401,32
E02002402,43
E02002404,28
E02002405,41
E02002407,32
E02002408,40
E02002409,40
E02002410,39
E02002411,30
E02002412,37
E02002414,32
E02002415,28
E02002416,47
E02002419,35
E02002420,34
E02002421,33
E02002422,41
E02002423,38
E02002424,39
E02002425,42
E02002426,42
E02002427,43
E02002428,36
E02002429,39
E02002430,32
E02002431,35
E02002433,39
E02002434,34
E02002435,40
E02002436,40
E02002437,42
E02002443,40
E02002444,41
E02002445,44
E02002446,44
E02002451,47
E02002453,39
E02002454,34
E02002456,38
E02002457,37
E02002458,41
E02002459,37
E02002462,43
E02002463,34
E02002465,45
E02002466,43
E02002467,32
E02002468,42
E02002469,43
E02002470,51
E02002472,43
E02002473,44
E02002474,42
E02002475,46
E02002477,41
E02002574,43
E02002575,40
E02002576,40
E02002577,39
E02002578,41
E02002579,37
E02002580,34
E02002581,43
E02002582,40
E02002583,38
E02002584,39
E02002585,37
E02002590,43
E02002591,45
E02002592,43
E02002593,43
E02002594,38
E02002595,33
E02002596,42
E02002597,34
E02002598,36
E02002599,38
E02002600,38
E02002601,44
E02002602,31
E02002603,44
E02002604,44
E02002605,38
E02002606,32
E02002607,36
E02002608,46
E02002609,35
E02002610,42
E02002611,44
E02002612,42
E02002613,43
E02002614,47
E02002615,40
E02002616,35
E02002617,28
E02002618,29
E02002619,30
E02002620,31
E02002621,27
E02002622,30
E02002623,33
E02002624,46
E02002625,34
E02002626,41
E02002627,37
E02002628,41
E02002629,36
E02002630,36
E02002631,40
E02002632,46
E02003853,48
E02003854,46
E02003855,50
E02003856,41
E02003857,40
E02004093,40
E02004094,38
E02004095,40
E02004096,45
E02004097,44
E02004098,43
E02005176,41
E02005177,38
E02005178,27
E02005179,40
E02005180,44
E02005181,37
E02005182,40
E02005183,45
E02005184,48
E02005185,36
E02005186,42
E02005189,39
E02005190,45
E02005191,43
E02005192,40
E02005193,43
E02005194,41
E02005195,42
E02005196,44
E02005197,37
E02005198,40
E02005199,46
E02005200,33
E02005201,40
E02005202,43
E02005212,41
E02005213,39
E02005214,41
E02005215,40
E02005216,38
E02005217,28
E02005218,40
E02005219,42
E02005220,46
E02005221,46
E02005222,50
E02005223,51
E02005225,47
E02005231,36
E02005233,35
E02005234,27
E02005235,25
E02005237,36
E02005238,40
E02005239,21
E02005240,40
E02005241,42
E02005242,43
E02005243,42
E02005244,37
E02005245,45
E02005246,37
E02005247,46
E02005248,30
E02005249,32
E02005250,30
E02005251,40
E02005252,37
E02005253,44
E02005254,47
E02005255,44
E02005256,40
E02005257,39
E02005258,43
E02005259,36
E02005260,45
E02005261,32
E02005262,38
E02005263,28
E02005264,26
E02005265,37
E02005266,30
E02005267,22
E02005268,31
E02005269,29
E02005270,47
E02005271,42
E02005272,42
E02005273,45
E02005274,46
E02005275,41
E02005276,43
E02005277,48
E02005278,41
E02005279,37
E02005280,39
E02005281,39
E02005284,44
E02005285,44
E02005286,41
E02005287,44
E02005288,46
E02005289,46
E02005290,40
E02005291,41
E02005292,40
E02005293,43
E02005294,37
E02005295,40
E02005296,48
E02005297,46
E02005298,42
E02005299,35
E02005300,40
E02005301,42
E02005302,40
E02005303,37
E02005308,47
E02005312,43
E02005313,33
E02005314,40
E02005316,34
E02005317,32
E02005318,44
E02005324,45
E02005325,50
E02005742,49
E02005743,53
E02005744,49
E02005745,49
E02005746,46
E02005747,38
E02005748,45
E02005749,45
E02005762,39
E02005763,43
E02005764,42
E02005766,47
E02005767,46
E02005768,41
E02005769,44
E02005770,42
E02005771,39
E02005772,48
E02005773,38
E02005774,40
E02005775,38
E02005777,45
E02005778,46
E02005779,44
E02005780,45
E02005781,47
E02006843,23
E02006844,21
E02006852,27
E02006860,27
E02006861,21
E02006868,31
E02006875,25
E02006876,29
E02006881,41
E02006884,41
E02006902,28
E02006912,25
E02006913,27
E02006914,22
E02006915,28
E02006916,28
E02006917,28
