geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E02002985,593,635,597,631,711,653,623,255,515
E02002986,562,555,544,587,682,548,610,239,697
E02002987,468,702,437,473,795,711,800,293,725
E02002988,681,611,511,696,911,679,622,236,522
E02002989,616,583,510,685,751,626,561,276,716
E02002990,639,552,1182,939,1021,643,510,162,272
E02002991,631,888,2484,1512,1377,1078,966,350,973
E02002992,726,689,854,748,872,671,557,212,609
E02002993,404,526,1595,826,717,557,410,143,338
E02002994,1026,1348,650,995,1529,1523,1398,557,1173
E02002995,734,741,861,724,778,492,466,174,345
E02002996,628,2507,2726,848,1021,871,916,311,805
E02002997,388,1020,2399,617,599,485,439,149,373
E02002998,478,762,1801,589,655,545,422,173,457
E02002999,626,700,770,693,753,680,626,226,455
E02003000,838,1039,693,799,1289,1457,1515,483,1089
E02003001,556,685,669,526,848,785,637,237,562
E02003002,645,732,699,576,734,645,608,219,561
E02003003,667,687,935,792,791,654,552,185,418
E02003004,628,911,486,591,1083,909,864,265,565
E02003005,624,800,423,495,999,946,956,337,574
E02003006,1053,1374,938,1079,1431,1128,963,340,575
E02003007,1029,875,826,1014,1201,1139,1070,378,775
E02003008,778,738,684,729,891,696,564,196,344
E02003009,688,751,647,750,962,695,652,265,465
E02003010,721,810,737,753,872,783,579,202,397
E02003011,511,629,478,537,747,650,719,262,589
E02003012,1472,1164,1539,1492,1362,1222,1116,386,946
E02003013,1741,1658,1587,1740,1541,1236,1135,411,907
E02003014,1342,1008,1210,1023,913,801,667,230,561
E02003015,753,663,871,757,841,655,558,203,500
E02003016,971,899,1895,1281,792,671,513,169,338
E02003017,762,446,528,902,827,721,704,270,882
E02003018,649,785,602,720,785,777,716,191,503
E02003019,1095,1118,1243,1253,1349,1148,1003,347,783
E02003020,819,764,362,712,820,763,814,264,915
E02003021,817,584,1885,1220,774,570,474,145,302
E02003022,813,645,357,693,892,795,697,270,705
E02003023,644,594,895,687,782,815,707,225,622
E02003024,929,1163,1712,1127,1024,873,807,268,856
E02003025,922,926,1025,884,906,754,598,210,541
E02003026,776,2136,1000,802,1090,1077,1010,413,965
E02003027,1567,1035,2818,2297,1676,1221,701,184,412
E02003028,1017,1095,1462,1209,1380,917,693,195,556
E02003029,1024,954,759,877,873,682,497,184,372
E02003030,948,819,1299,1234,1071,743,589,159,314
E02003031,1037,1228,2891,1595,1434,1094,605,125,244
E02003032,1028,805,1275,1152,894,815,593,233,487
E02003033,460,820,4125,1288,802,631,461,117,295
E02003034,1680,1309,3249,2478,1625,958,523,174,267
E02003036,534,708,3830,1419,821,564,386,92,203
E02003037,439,561,3887,1603,821,551,456,111,305
E02003038,807,705,939,986,964,681,599,209,469
E02003039,1121,932,1195,1279,1115,812,696,267,628
E02003040,1252,672,1752,2072,1287,798,559,206,527
E02003041,321,629,2030,1062,605,530,519,151,347
E02003043,412,1232,5706,1576,732,551,405,119,205
E02003044,638,614,841,865,901,704,637,257,341
E02003045,395,905,2398,1053,690,561,554,118,216
E02003046,1175,892,1490,1907,1369,942,709,251,479
E02003047,1093,777,2228,1986,1433,975,675,218,652
E02003048,764,429,1303,1670,1004,616,419,115,196
E02003049,900,770,1012,1081,1000,814,801,259,635
E02003050,676,541,2197,1777,966,780,631,249,635
E02003051,960,655,1339,1370,920,609,400,149,262
E02003052,674,593,1050,1266,885,655,659,238,482
E02003053,1021,851,975,1228,1282,1054,765,275,615
E02003054,790,683,901,1034,1003,778,635,205,424
E02003055,1466,1275,1112,1137,1081,890,630,253,456
E02003056,1176,1119,900,1009,914,790,682,250,376
E02003057,634,670,742,757,738,756,618,274,633
E02003058,1132,1027,1309,1120,1168,1074,985,361,811
E02003059,803,677,726,635,768,700,532,231,566
E02003060,1139,1315,1224,1210,1539,1390,1305,575,1105
E02003061,902,758,796,633,765,689,518,192,501
E02003062,896,820,777,704,827,575,465,248,524
E02003063,664,748,839,714,906,1078,1011,436,644
E02003064,1140,941,995,727,869,699,429,209,526
E02003065,926,850,963,1173,1352,968,1073,398,800
E02003066,531,650,339,496,888,972,1079,373,686
E02003067,1133,839,686,1205,1150,799,840,247,627
E02003068,616,675,571,644,931,766,958,360,659
E02003070,1725,1173,928,1648,1883,1578,1531,556,1086
E02003072,835,980,810,828,1255,1232,1410,571,1124
E02003073,680,835,537,593,1025,1041,1051,268,555
E02003075,620,838,344,473,974,836,820,291,592
E02003077,605,720,472,543,1002,876,870,320,567
E02003090,604,922,673,695,1068,943,1018,306,689
E02003091,700,849,620,709,1029,866,888,332,580
E02003092,844,1127,637,883,1582,1136,942,306,458
E02003093,559,792,473,526,1008,944,1094,417,768
E02003094,1054,1022,829,1037,1280,1140,1030,366,594
E02003095,697,1052,679,772,1275,1015,856,279,498
E02003096,780,902,906,817,1086,794,632,225,311
E02003097,609,708,475,640,992,765,998,353,680
E02003098,1541,1266,1579,1951,1872,998,527,130,174
E02003099,778,829,718,829,1021,840,909,375,526
E02003100,1204,1215,1463,1355,1549,1291,1215,439,780
E02003101,1686,1285,1699,2038,1920,1063,529,146,195
E02003102,718,900,475,634,1143,803,890,342,615
E02003103,1083,982,1034,1100,1164,777,689,172,215
E02003104,893,978,899,1063,1244,1010,850,286,431
E02003105,599,874,436,524,1013,841,808,399,804
E02003106,1102,2060,2087,1296,1475,976,719,253,539
E02003107,1089,1207,2067,1383,1414,1041,1063,389,954
E02003108,971,1257,1004,1074,1457,1174,1134,449,787
E02003109,707,697,396,629,994,742,772,313,735
E02003110,1792,1274,1005,1919,1983,1067,736,237,356
E02003111,710,713,573,791,961,822,705,280,739
E02003112,792,856,724,733,907,736,709,256,668
E02003113,1082,1258,808,987,1675,1570,1407,493,887
E02003114,706,778,847,793,1006,867,809,366,816
E02003115,1070,951,1369,1325,1298,1000,958,392,796
E02003116,918,906,984,944,1047,789,867,366,736
E02003117,1060,969,1227,1187,1233,979,877,298,752
E02003118,1200,1278,1363,1444,1806,1294,984,293,537
E02003119,1266,1360,1193,1251,1621,1413,1086,367,787
E02003120,782,1044,768,854,1347,1081,1090,430,997
E02003121,937,1146,1054,1082,1549,1495,1422,520,965
E02003172,695,753,627,687,835,767,764,328,771
E02003173,685,623,749,708,833,828,946,375,861
E02003174,842,890,801,907,1207,1032,1000,398,1019
E02003175,1271,1055,970,1306,1381,1119,882,265,733
E02003176,854,1081,855,925,1076,768,678,240,542
E02003177,984,1061,841,1049,1332,994,782,273,661
E02003178,942,1033,1256,1041,1122,946,952,356,694
E02003179,774,820,646,772,893,768,766,290,740
E02003180,880,1288,3010,1180,1045,800,581,227,470
E02003181,949,1093,1327,1183,1293,981,790,263,617
E02003182,720,807,658,792,1024,915,798,238,609
E02003183,529,824,1543,690,841,859,815,276,692
E02003194,489,1031,443,473,782,921,1096,329,677
E02003195,659,718,681,703,869,746,609,197,430
E02003196,922,1333,612,742,1641,1518,1458,564,1513
E02003197,852,777,778,859,1107,1004,781,227,430
E02003198,886,990,934,990,1152,857,744,245,466
E02003199,1057,978,959,1139,1419,1207,1100,413,908
E02003200,1194,1205,1240,1201,1366,1191,1199,494,872
E02003201,1283,1289,1338,1485,1647,1163,1085,438,845
E02003214,1083,812,988,783,774,677,538,183,490
E02003215,683,760,681,848,1139,960,997,376,549
E02003216,923,1160,852,1080,1479,1191,1102,445,863
E02003217,816,820,808,884,968,735,701,230,553
E02003218,958,1013,750,835,1012,748,642,189,428
E02003219,703,836,536,599,1135,1149,896,280,552
E02003220,1075,1226,1065,1187,1762,1368,1033,519,1039
E02003221,750,719,996,1102,963,708,585,201,426
E02003222,857,914,782,973,1322,826,385,103,144
E02003223,1256,923,1665,1790,1459,1054,741,260,524
E02003224,816,966,1040,981,1388,1224,1096,446,785
E02003225,666,706,877,853,1038,954,521,119,222
E02003226,1044,873,1676,1628,1265,873,514,185,294
E02003227,916,949,914,885,933,653,488,187,414
E02003228,778,815,835,958,1059,774,556,209,606
E02003229,702,765,739,835,1095,915,418,64,128
E02003230,745,501,1728,1683,1051,673,393,127,372
E02003231,1266,1216,1176,1076,1229,936,728,295,592
E02003232,968,839,1412,1435,1305,903,587,211,485
E02003233,1050,1145,1183,1183,1291,1293,886,279,549
E02003234,1005,1095,986,1057,1313,1290,1080,322,536
E02003235,760,737,799,907,1063,925,842,310,959
E02003236,1093,1316,770,1098,1722,1450,1391,542,1130
E02003368,660,567,479,747,951,743,776,267,385
E02003376,661,544,580,751,914,804,728,234,551
E02003384,816,656,480,708,1118,987,869,245,506
E02003550,1089,935,906,1232,1036,998,1003,246,433
E02003552,750,857,687,895,819,741,759,234,426
E02003554,593,568,998,883,729,672,675,248,713
E02003555,923,961,926,1050,962,889,766,286,562
E02003558,968,689,1080,1232,831,626,549,218,419
E02003559,972,994,925,1000,1224,1021,819,225,633
E02003560,1209,941,1078,1014,950,752,563,199,459
E02003563,1010,769,1311,1300,1070,734,611,261,651
E02003567,1189,1034,1097,1153,1137,826,633,176,420
E02003568,752,734,2793,1665,898,667,478,150,372
E02003569,809,595,1764,1584,959,740,500,160,317
E02003571,254,690,3943,781,397,297,269,110,423
E02004236,518,660,555,528,790,813,932,314,663
E02004237,837,1038,585,766,1222,933,1009,411,982
E02004238,420,600,405,444,739,697,1255,626,1908
E02004239,425,490,372,405,668,690,988,476,1073
E02004240,765,816,704,736,993,720,674,217,452
E02004241,977,959,936,1091,1205,1057,1130,472,1183
E02004243,708,797,495,607,1033,1043,927,274,581
E02004244,749,813,558,765,1122,866,950,428,970
E02004245,973,924,663,811,1165,895,982,372,846
E02004246,362,572,351,364,818,1039,1525,625,1203
E02004247,516,759,408,488,963,1005,936,296,560
E02004248,534,647,550,529,882,901,1359,637,1522
E02004249,509,615,383,411,799,848,936,315,577
E02004250,622,730,663,551,875,907,1195,561,1539
E02004251,501,671,485,554,918,855,1017,402,931
E02004252,657,733,648,758,934,820,899,402,1163
E02004253,642,877,527,639,1131,1225,1531,685,1724
E02004254,1056,1365,914,973,1546,1475,1398,512,894
E02004255,728,854,757,773,1122,903,880,424,1061
E02004256,1060,1177,800,988,1349,1212,1337,455,826
E02004257,786,864,749,858,1044,908,879,342,884
E02004258,1000,1141,866,976,1392,1382,1617,660,1295
E02004259,650,1028,574,638,930,1019,1095,396,765
E02004260,1172,1557,1135,1268,1161,1111,1062,362,614
E02004261,1093,1058,1243,1278,1456,1282,1179,414,980
E02004262,729,1034,475,645,1224,1189,1335,418,665
E02004263,543,651,504,495,896,887,861,271,584
E02004264,877,958,810,875,1202,1023,1099,390,749
E02004269,729,1765,790,780,1063,1006,1280,543,1567
E02004270,571,924,483,498,1062,1168,1311,503,969
E02004271,873,981,704,784,1366,1458,1695,615,1296
E02004272,1137,1299,733,1059,1838,1672,1823,616,1226
E02004274,627,697,564,621,852,872,987,332,908
E02004779,985,1280,820,922,1597,1641,1644,582,1405
