geocode,asian,black,mixed,other,white
E02002985,36,35,63,9,5070
E02002986,31,26,66,8,4893
E02002987,81,11,51,8,5253
E02002988,100,63,116,12,5178
E02002989,240,61,104,36,4883
E02002990,217,107,158,39,5399
E02002991,587,114,218,118,9222
E02002992,200,79,142,38,5479
E02002993,318,100,169,59,4870
E02002994,150,40,165,29,9815
E02002995,102,105,207,5,4896
E02002996,897,91,258,99,9288
E02002997,252,69,144,22,5982
E02002998,261,61,102,39,5419
E02002999,131,81,85,15,5217
E02003000,111,29,87,13,8962
E02003001,105,23,85,19,5273
E02003002,119,46,140,28,5086
E02003003,196,71,106,58,5250
E02003004,51,5,47,11,6188
E02003005,20,8,46,16,6064
E02003006,106,32,97,11,8635
E02003007,85,14,66,9,8133
E02003008,33,12,65,7,5503
E02003009,53,18,32,19,5753
E02003010,54,16,48,7,5729
E02003011,41,9,31,8,5033
E02003012,470,369,369,66,9425
E02003013,902,543,362,80,10069
E02003014,138,301,187,28,7101
E02003015,457,380,207,44,4713
E02003016,740,838,402,76,5473
E02003017,183,69,177,47,5566
E02003018,129,90,141,28,5340
E02003019,186,116,159,42,8836
E02003020,343,39,119,34,5698
E02003021,386,275,252,44,5814
E02003022,174,66,139,26,5462
E02003023,579,258,260,67,4807
E02003024,582,620,394,80,7083
E02003025,765,976,348,87,4590
E02003026,463,104,219,83,8400
E02003027,379,333,423,79,10697
E02003028,335,141,274,64,7710
E02003029,575,499,321,30,4797
E02003030,1092,771,399,145,4769
E02003031,347,287,421,92,9106
E02003032,630,575,293,111,5673
E02003033,401,165,282,52,8099
E02003034,869,3302,843,223,7026
E02003036,802,585,346,136,6688
E02003037,374,82,303,69,7906
E02003038,281,260,194,36,5588
E02003039,508,632,295,101,6509
E02003040,468,765,563,124,7205
E02003041,300,58,178,68,5590
E02003043,1571,508,407,201,8251
E02003044,139,195,124,29,5311
E02003045,415,167,232,83,5993
E02003046,235,336,296,42,8305
E02003047,200,149,347,74,9267
E02003048,383,216,297,39,5581
E02003049,135,175,185,14,6763
E02003050,328,196,314,46,7568
E02003051,248,298,283,65,5770
E02003052,77,44,145,14,6222
E02003053,379,118,195,26,7348
E02003054,210,160,184,35,5864
E02003055,278,206,285,43,7488
E02003056,201,201,220,24,6570
E02003057,97,40,110,16,5559
E02003058,186,156,179,24,8442
E02003059,41,58,99,3,5437
E02003060,162,132,175,35,10298
E02003061,43,84,154,20,5453
E02003062,59,79,127,18,5553
E02003063,38,38,68,4,6892
E02003064,51,83,143,23,6235
E02003065,126,12,118,41,8206
E02003066,42,9,50,7,5906
E02003067,67,14,82,7,7356
E02003068,68,10,71,19,6012
E02003070,134,24,171,12,11767
E02003072,97,14,68,1,8865
E02003073,76,14,38,8,6449
E02003075,46,20,71,9,5642
E02003077,31,11,51,8,5874
E02003090,84,21,66,7,6740
E02003091,61,15,77,6,6414
E02003092,66,75,55,22,7697
E02003093,38,12,51,14,6466
E02003094,111,37,89,33,8082
E02003095,125,24,64,8,6902
E02003096,81,27,79,8,6258
E02003097,60,6,44,4,6106
E02003098,747,127,214,81,8869
E02003099,71,17,61,9,6667
E02003100,270,142,173,38,9888
E02003101,922,142,238,108,9151
E02003102,50,18,67,0,6385
E02003103,97,25,67,4,7023
E02003104,171,69,117,32,7265
E02003105,94,21,84,15,6084
E02003106,669,197,260,91,9290
E02003107,851,260,265,48,9183
E02003108,115,59,125,42,8966
E02003109,162,40,66,28,5689
E02003110,326,91,143,66,9743
E02003111,164,90,67,38,5935
E02003112,106,28,113,38,6096
E02003113,61,12,85,18,9991
E02003114,100,77,80,19,6712
E02003115,197,169,177,21,8595
E02003116,79,103,136,15,7224
E02003117,183,124,154,12,8109
E02003118,116,57,118,11,9897
E02003119,82,63,131,11,10057
E02003120,107,46,126,8,8106
E02003121,74,24,75,13,9984
E02003172,69,38,81,35,6004
