geocode,employee,inactive,self-employed,student,unemployed
E02003352,2232,1169,575,73,99
E02003353,4009,1242,799,222,167
E02003354,4657,1300,767,193,202
E02003355,2768,1015,399,126,227
E02003357,3920,1418,624,168,319
E02003358,4013,1502,573,195,319
E02003359,3434,824,465,120,159
E02003360,4417,1565,558,207,277
E02003361,3507,1184,468,170,238
E02003362,3226,990,425,121,178
E02003363,2582,1454,466,120,94
E02003364,3286,1040,435,168,133
E02003365,2918,1099,573,116,118
E02003366,3940,1009,458,183,149
E02003367,2470,1160,646,95,82
E02003369,2240,1249,640,92,113
E02003370,2848,1254,552,128,114
E02003371,2614,1058,470,133,111
E02003372,3328,1360,553,166,186
E02003373,3405,1481,796,146,133
E02003374,2763,923,403,153,155
E02003375,2563,997,488,102,101
E02003377,4016,2075,992,138,162
E02003378,3236,1348,623,122,185
E02003379,3283,1037,424,107,195
E02003380,3963,1085,539,162,180
E02003381,2607,986,458,119,110
E02003382,3275,1251,472,163,212
E02003383,3408,945,419,152,137
E02003385,3692,1192,505,144,204
E02003386,3501,1390,545,148,247
E02003387,3855,1624,684,192,151
E02003388,2248,1096,524,77,95
E02003389,3216,1471,654,130,160
E02003390,2936,1398,702,130,123
E02003391,3391,1353,623,180,138
E02003392,3858,1208,564,148,300
E02003393,3492,1295,613,172,185
E02003394,2970,1333,419,140,333
E02003395,4565,1376,568,247,437
E02003396,4437,1352,568,199,350
E02003397,2851,1497,465,133,210
E02003398,4335,2325,494,941,332
E02003399,6450,2031,630,284,578
E02003400,3010,2394,392,909,233
E02003401,3835,1388,480,158,319
E02003402,4425,2155,406,645,326
E02003403,3316,1698,502,217,266
E02003404,2024,2787,302,729,261
E02003405,3882,1903,445,295,507
E02003406,2944,1515,411,168,271
E02003421,2099,1118,512,104,115
E02003422,4194,2211,1457,148,213
E02003423,2402,1211,452,101,203
E02003424,3269,1593,822,123,164
E02003425,4762,1776,838,176,359
E02003426,3942,1663,844,151,172
E02003427,3153,1305,551,128,271
E02003428,3955,1664,704,175,235
E02003429,2996,1407,838,110,142
E02003439,1939,1167,620,83,89
E02003440,3842,1444,732,140,174
E02003441,3080,1428,622,169,133
E02003442,3354,1001,565,169,117
E02003443,2228,1235,378,110,160
E02003444,3390,1752,707,235,193
E02003445,3606,1663,630,294,165
E02003446,3515,1712,632,335,153
E02003447,4162,1514,685,191,196
E02003448,2956,1146,615,147,112
E02003449,3958,911,521,160,156
E02003450,4971,1703,779,191,254
E02003451,3350,1436,489,133,192
E02003452,2739,1085,442,126,80
E02003453,2934,1099,480,134,96
E02003454,3260,1360,541,139,144
E02003455,2921,1105,654,96,136
E02003456,3047,1139,528,110,155
E02003457,4102,1878,790,217,158
E02003458,3188,1583,671,152,95
E02003712,3085,1601,573,126,214
E02003713,2225,1179,565,131,86
E02003715,2552,1323,688,125,84
E02003716,2106,1136,548,105,98
E02003717,3307,1671,850,131,157
E02003718,2273,920,589,81,128
E02004675,3271,1387,510,144,157
E02004676,3525,1486,681,130,135
E02004677,2744,1301,838,105,142
E02004678,3074,1385,772,117,126
E02004679,3575,1496,712,140,146
E02004680,3696,766,458,148,140
E02004681,5224,1841,492,220,396
E02004682,3918,1081,540,180,191
E02004683,2984,1188,343,189,204
E02004684,4340,1455,449,216,278
E02004685,3637,1030,395,146,215
E02004686,4044,1223,460,191,206
E02004687,3036,1301,367,149,225
E02004688,3128,1468,393,189,288
E02004689,2213,1189,449,114,98
E02004690,3774,1192,490,222,197
E02004691,3030,1549,787,116,116
E02004692,3016,1590,559,136,110
E02004693,3451,1135,332,157,209
E02004694,2784,1230,637,109,127
E02004695,4558,919,564,237,158
E02004696,2533,1231,564,99,135
E02004751,3433,1617,676,174,160
E02004752,3862,1401,717,192,144
E02004753,4460,1849,793,211,214
E02004754,2287,1287,617,89,109
E02004755,5445,1521,863,178,209
E02004756,3614,1394,725,182,140
E02004757,3159,1710,626,161,104
E02004758,3042,1655,714,148,146
E02004759,3371,1451,643,165,132
E02004760,3257,1296,638,137,118
E02004761,3161,1031,482,83,94
E02004802,2873,1277,357,206,213
E02004803,3168,1514,288,274,327
E02004804,3559,1148,483,173,152
E02004805,3896,1364,556,178,140
E02004806,3967,1151,531,190,166
E02004807,4088,1600,555,215,253
E02004808,4784,1629,670,193,279
E02004809,4801,1158,234,181,287
E02004810,3634,1102,486,163,244
E02004811,3384,1300,520,194,191
E02004812,3055,1083,516,154,154
E02004813,2550,1181,356,120,187
E02005966,4554,741,401,148,161
E02005967,2534,1004,332,104,142
E02005968,3554,1332,628,94,119
E02005969,3832,1575,739,123,200
E02005970,2866,830,266,127,180
E02005971,2502,995,332,97,115
E02005972,3106,1498,828,116,141
E02005973,1969,1164,576,63,124
E02005974,2284,1093,662,87,104
E02005975,2709,1654,892,116,118
E02005976,1939,1333,805,83,107
E02005977,2087,1127,609,77,91
E02005992,3596,1664,798,139,167
E02006347,3382,1153,541,122,133
E02006353,2627,1155,446,122,148
E02006357,2778,1079,547,133,143
E02006419,3271,1406,502,177,274
E02006420,2811,1445,718,161,127
E02006422,2670,1079,486,145,94
E02006423,4336,1837,836,221,285
E02006424,2569,1196,548,127,91
E02006425,2654,1098,424,149,151
E02006426,2639,962,439,128,104
E02006427,3249,1149,505,136,130
E02006439,2440,1051,501,92,102
E02006440,2907,1337,625,180,153
E02006441,2747,1627,659,418,152
E02006442,1913,1262,608,88,97
E02006444,2458,1210,669,153,130
E02006447,2163,1226,615,149,121
