geocode,all
W00000005,4.89
W00000006,29.71
W00000008,9.99
W00000009,12.19
W00000010,2.46
W00000011,0.24
W00000012,3.09
W00000013,3.31
W00000084,33.65
W00000086,17.54
W00000087,5.03
W00000088,1.15
W00000090,5.18
W00000100,0.22
W00000101,9.55
W00000102,0.53
W00000103,0.3
W00000104,3.48
W00000105,0.32
W00000106,1.17
W00000107,0.25
W00000108,0.49
W00000111,0.26
W00000112,0.46
W00000138,9.74
W00000141,0.32
W00000142,0.11
W00000156,0.17
W00000157,0.26
W00000158,0.41
W00000159,3.24
W00000160,9.11
W00000161,8.97
W00000162,24.19
W00000163,0.27
W00000164,7.36
W00009977,18.46
W00009978,8.35
W00009979,8.16
W00009980,16.62
W00009981,0.28
