geocode,bad,fair,good
E00057125,20,46,269
E00057127,26,40,231
E00057133,20,38,212
E00057134,22,50,325
E00057137,17,36,264
E00057145,27,62,284
E00057148,12,34,223
E00057149,23,24,236
E00057150,21,34,175
E00057151,32,45,324
E00057152,4,34,151
E00057154,24,54,216
E00057155,22,36,232
E00057156,13,56,180
E00057157,12,41,232
E00057158,35,60,187
E00057161,23,44,197
E00057163,25,45,261
E00057164,51,55,151
E00057165,21,26,221
E00057171,40,51,263
E00057172,27,70,285
E00057173,34,58,171
E00057175,49,58,186
E00057176,16,31,176
E00057182,41,48,132
E00057186,25,58,171
E00057188,18,26,247
E00057189,22,51,245
E00057190,20,51,196
E00057191,21,35,187
E00057192,8,34,216
E00057193,2,17,239
E00057194,21,42,194
E00057195,14,40,266
E00057196,11,32,222
E00057197,9,38,237
E00057198,23,40,346
E00057199,31,56,248
E00057200,31,44,320
E00057202,32,38,297
E00057204,43,82,324
E00057205,9,39,274
E00057206,20,33,179
E00057207,5,12,207
E00057208,30,55,326
E00057209,20,43,255
E00057210,15,48,331
E00057211,14,42,258
E00057212,20,27,220
E00057213,15,47,309
E00057214,21,36,222
E00057215,14,52,258
E00057216,22,66,279
E00057217,22,53,354
E00057218,27,49,248
E00057220,32,65,368
E00057221,20,59,218
E00057222,23,81,364
E00057223,32,70,294
E00057225,33,82,456
E00057226,33,63,230
E00057227,13,18,313
E00057228,12,27,272
E00057229,17,25,222
E00057230,7,17,246
E00057231,11,24,345
E00057232,17,42,361
E00057233,10,32,207
E00057234,18,46,229
E00057235,2,17,273
E00057236,16,31,258
E00057238,9,36,257
E00057239,6,27,265
E00057240,11,40,126
E00057241,18,42,262
E00057242,28,35,222
E00057244,6,33,410
E00057245,33,51,261
E00057246,37,55,59
E00057247,11,30,242
E00057248,40,42,197
E00057249,16,25,248
E00057250,31,44,165
E00057251,22,27,244
E00057252,12,34,269
E00057253,12,45,264
E00057341,4,23,252
E00057393,16,50,235
E00057401,7,36,284
E00057564,23,56,242
E00057565,17,38,222
E00057567,23,48,461
E00057568,33,60,390
E00057570,38,67,426
E00057571,13,31,292
E00057573,27,47,241
E00057574,16,30,263
E00057575,9,23,252
E00057576,15,37,144
E00057577,36,51,374
E00057579,12,50,316
E00057580,24,34,329
E00057581,25,55,339
E00057583,12,45,336
E00057584,28,50,289
E00057585,23,35,263
E00057586,18,35,254
E00057587,22,43,257
E00057589,34,72,480
E00057590,19,46,341
E00057591,18,67,279
E00057592,30,67,377
E00057593,19,38,284
E00057594,18,45,298
E00057595,13,45,325
E00057596,15,36,230
E00057597,39,71,394
E00057598,44,69,325
E00057599,12,48,275
E00057600,20,40,224
E00057601,31,43,259
E00057602,19,63,349
E00057603,14,48,254
E00057604,31,35,188
E00057605,17,37,240
E00057606,27,54,154
E00057607,21,53,333
E00057608,21,63,294
E00057609,6,28,231
E00057610,12,40,185
E00057611,18,22,219
E00057612,18,37,266
E00057613,9,40,228
E00057614,19,39,228
E00057615,22,42,318
E00057616,11,47,257
E00057617,14,31,207
E00057618,17,22,226
E00057626,14,37,245
E00057628,4,19,304
E00057629,10,24,271
E00057630,13,33,431
E00057631,15,41,232
E00057632,17,24,274
E00057633,6,36,224
E00057634,3,16,323
E00057638,9,21,317
E00057639,16,47,383
E00057641,3,23,256
E00057642,16,48,355
E00057643,3,25,331
E00057645,5,29,449
E00057646,8,17,287
E00057647,3,16,244
E00057648,5,26,574
E00057649,8,36,402
E00057650,9,33,502
E00057651,7,27,371
E00057652,4,10,384
E00057653,8,21,283
E00057654,7,15,387
E00057655,12,36,317
E00057656,4,6,94
E00057657,4,22,336
E00057658,8,28,355
E00057659,6,21,329
E00057660,2,7,115
E00057661,12,27,521
E00057662,3,17,344
E00057663,8,15,403
E00057664,2,16,315
E00057665,2,14,278
E00057666,5,33,255
E00057667,22,30,116
E00057668,15,33,148
E00057669,4,16,274
E00057670,8,13,182
E00057671,15,26,139
E00057672,16,37,178
E00057673,10,31,328
E00057674,6,23,156
E00057675,30,33,160
E00057676,39,44,167
E00057679,3,17,205
E00057680,23,46,155
E00057681,17,49,395
E00057683,8,14,173
E00057685,11,26,137
E00057691,7,21,279
E00057692,3,20,327
E00057693,8,14,216
E00057696,7,11,197
E00057697,8,12,235
E00057699,7,15,230
E00057700,8,23,431
E00057701,9,17,228
E00057702,11,30,294
E00057703,11,27,425
E00057704,2,14,217
E00057833,13,35,349
E00057845,7,39,276
E00057849,26,39,263
E00057853,39,31,136
E00057854,25,34,290
E00057855,14,37,333
E00057856,15,58,186
E00057857,13,19,229
E00057858,11,31,227
E00057859,28,45,366
E00057892,6,17,289
E00057894,9,34,392
E00057896,10,24,222
E00057971,20,35,237
E00057972,2,23,270
E00057973,11,32,296
E00057974,7,26,320
E00057975,10,33,325
E00057976,19,38,177
E00057977,17,47,220
E00057978,7,40,281
E00057979,26,67,208
E00057980,13,43,391
E00057981,18,29,175
E00057982,6,22,212
E00057983,11,28,209
E00057984,13,33,316
E00057985,19,46,318
E00057986,12,44,255
E00057987,17,27,241
