geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E00044139,53,2,7,69,0
E00044140,108,2,4,5,0
E00044141,56,0,15,48,0
E00044142,59,0,10,42,0
E00044143,70,1,6,46,1
E00044144,37,0,11,71,0
E00044145,90,2,9,23,0
E00044146,76,0,10,50,0
E00044147,38,0,8,67,0
E00044148,56,1,15,48,1
E00044149,55,2,8,45,0
E00044150,40,0,13,70,0
E00044151,98,0,11,33,0
E00044152,54,1,8,52,0
E00044153,69,0,12,47,1
E00044154,59,1,9,47,0
E00044155,42,0,12,53,0
E00044156,73,0,8,54,0
E00044157,33,2,2,35,0
E00044158,14,2,13,20,0
E00044159,91,0,13,28,0
E00044160,68,1,5,51,0
E00044161,99,1,1,26,0
E00044162,86,3,29,9,0
E00044163,32,3,4,76,1
E00044164,68,1,3,47,0
E00044165,107,2,6,4,0
E00044166,68,1,6,57,0
E00044168,23,2,9,78,0
E00044169,68,1,5,54,0
E00044170,62,0,11,48,0
E00044171,57,1,8,62,0
E00044172,71,1,6,42,0
E00044173,62,0,13,48,0
E00044174,53,0,52,4,0
E00044175,78,2,37,25,1
E00044177,55,1,30,43,3
E00044185,99,3,32,1,0
E00044189,77,2,46,6,0
E00044191,77,2,52,4,0
E00044197,71,2,37,23,1
E00044200,61,4,42,35,0
E00044203,66,1,37,17,1
E00044317,74,0,5,53,0
E00044318,115,1,5,5,0
E00044319,115,2,3,5,1
E00044320,123,1,4,1,0
E00044321,48,2,9,66,0
E00044322,113,0,9,12,0
E00044323,48,0,7,69,0
E00044324,56,0,6,65,0
E00044325,23,0,5,86,0
E00044327,56,0,6,88,1
E00044328,43,2,10,67,0
E00044329,40,0,5,80,1
E00044330,40,0,8,75,0
E00044331,39,1,17,74,0
E00044332,25,0,5,77,2
E00044333,14,0,1,27,0
E00044336,75,2,7,22,0
E00044337,72,1,11,60,0
E00044338,71,1,9,50,0
E00044339,57,2,12,64,0
E00044340,60,1,7,49,0
E00044341,35,1,6,71,0
E00044342,39,1,8,72,1
E00044343,36,0,7,76,0
E00044344,43,2,5,82,0
E00044345,48,2,10,59,0
E00044346,71,0,14,53,0
E00044347,114,2,4,2,0
E00044348,46,3,11,72,0
E00044349,42,1,5,75,0
E00044462,53,0,6,72,0
E00044463,78,1,10,38,0
E00044464,108,1,3,1,1
E00044465,59,0,36,37,0
E00044466,65,1,41,34,0
E00044467,51,0,11,66,0
E00044468,73,3,5,54,0
E00044469,76,1,25,44,0
E00044470,94,1,30,3,0
E00044471,18,0,5,93,0
E00044472,108,2,18,1,0
E00044473,99,1,35,1,5
E00044474,57,0,10,50,1
E00044475,103,1,21,8,0
E00044476,101,0,10,3,0
E00044477,105,2,11,4,0
E00044478,109,3,19,2,0
E00044479,106,1,11,3,1
E00044480,124,0,6,1,1
E00044481,92,1,2,19,0
E00044482,90,1,30,0,0
E00044483,103,4,21,1,0
E00044484,105,0,4,3,0
E00044485,114,0,13,0,1
E00044486,112,0,8,0,0
E00044487,115,0,11,2,0
E00044488,103,1,7,0,1
E00044489,115,3,7,3,0
E00044490,109,1,15,4,0
E00044491,37,0,30,52,0
E00044492,69,0,54,6,0
E00044493,56,1,7,49,0
E00044494,62,1,8,55,1
E00044495,93,1,27,2,0
E00044496,44,0,5,95,0
E00044559,60,0,15,56,0
E00044560,79,1,13,38,0
E00044561,71,0,3,39,0
E00044562,65,0,8,46,0
E00044564,71,2,8,30,0
E00044566,39,0,5,0,0
E00044609,96,1,7,19,0
E00044682,98,1,17,12,0
E00044686,83,0,7,39,0
E00044733,82,1,15,21,0
E00044735,81,1,4,23,0
E00044737,92,0,8,9,0
E00044738,149,1,29,46,0
E00044739,58,1,6,60,0
E00044740,101,0,15,15,1
E00044741,121,1,3,3,0
E00044743,99,0,25,34,0
E00044744,59,0,12,61,0
E00044745,53,2,5,64,0
E00044746,55,1,3,83,0
E00044748,53,0,10,56,0
E00044749,78,0,20,26,0
E00044750,106,1,9,6,0
E00044751,26,0,1,38,0
E00044752,15,0,5,49,0
E00044753,33,0,8,90,0
E00044754,43,0,12,76,0
E00044755,94,0,9,35,0
E00044756,119,0,7,5,1
E00044757,63,2,12,45,0
E00044759,126,0,29,31,0
E00044760,49,1,9,57,0
E00044761,55,0,10,58,0
E00044762,54,0,3,70,0
E00044763,43,1,6,69,0
E00044764,53,2,8,49,0
E00044765,24,1,3,90,0
E00044766,48,1,4,73,0
E00044767,54,0,10,61,1
E00044768,70,3,11,49,0
E00044769,75,0,10,43,1
E00044770,61,0,4,53,0
E00044771,76,1,37,30,1
E00044772,103,1,29,5,0
E00044777,21,0,5,31,0
E00044781,69,0,14,37,0
E00044783,29,0,6,74,0
E00044784,76,3,12,45,0
E00044785,15,0,6,77,0
E00044786,99,2,35,2,0
E00044789,36,0,12,77,0
E00044790,20,2,11,87,0
E00044791,59,0,8,64,0
E00044792,68,0,6,56,0
E00044793,61,0,8,46,0
E00044794,45,0,7,70,0
E00044796,92,1,43,1,0
E00044798,43,2,9,79,0
E00044799,69,4,7,33,1
E00044800,64,3,8,32,0
E00044801,89,0,7,28,0
E00044802,71,2,6,34,0
E00044803,63,2,6,64,0
E00044804,59,2,9,50,0
E00044805,57,1,4,59,1
E00044806,55,2,14,52,0
E00044807,32,0,9,86,1
E00044808,42,0,9,78,0
E00044809,41,0,5,60,0
E00044810,57,2,7,52,0
E00044811,36,0,6,88,0
E00044812,39,0,9,77,1
E00044813,60,0,12,60,1
E00044814,58,2,11,66,1
E00044815,30,0,8,98,0
E00044816,57,1,7,50,1
E00044817,47,2,13,73,0
E00044818,17,2,9,99,1
E00044819,46,0,11,71,0
E00044820,42,0,3,82,0
E00044821,34,0,14,81,0
E00044822,41,0,10,75,0
E00044823,43,2,8,67,0
E00044824,41,0,26,65,0
E00044825,40,0,7,72,0
E00044826,40,1,6,78,0
E00044827,27,0,14,77,0
E00044828,7,2,3,79,2
E00044829,58,2,12,49,0
E00044830,55,1,8,54,1
E00044831,65,4,3,51,1
E00044832,68,3,10,42,0
E00044846,91,4,37,1,0
E00044848,98,1,33,4,0
E00044869,45,1,7,49,0
E00044875,54,0,9,54,0
E00044876,37,0,7,47,0
E00044877,77,1,13,34,0
E00044878,70,0,7,46,0
E00044879,31,1,7,65,0
E00044880,102,0,1,8,0
E00044881,109,0,5,17,0
E00165667,59,1,7,6,0
E00170204,72,1,23,25,1
E00170205,72,1,18,3,0
E00170206,96,1,5,1,0
E00170211,74,0,19,44,0
E00170233,87,0,6,7,0
E00170243,24,1,2,53,0
E00170244,59,0,8,30,0
