geocode,employee,inactive,self-employed,student,unemployed
E00002310,142,118,31,13,18
E00002311,135,115,11,17,17
E00002312,156,99,34,21,15
E00002313,198,109,29,26,21
E00002314,193,108,33,18,12
E00002315,115,93,33,11,13
E00002316,159,106,44,23,19
E00002319,121,83,32,8,11
E00002321,158,103,40,13,11
E00002322,130,55,27,16,7
E00002323,160,84,25,21,10
E00002324,151,99,28,25,18
E00002325,174,77,22,15,17
E00002326,128,67,35,20,12
E00002327,148,36,23,7,18
E00002328,131,53,24,12,10
E00002329,214,148,25,41,19
E00002330,134,67,26,15,14
E00002331,155,101,22,17,19
E00002332,228,145,29,22,19
E00002333,198,138,33,23,20
E00002334,159,91,25,30,11
E00002335,166,101,25,18,13
E00002336,176,131,27,24,12
E00002337,118,68,37,11,13
E00002338,195,128,35,15,13
E00002339,134,53,20,9,17
E00002340,161,113,22,18,15
E00002341,148,84,38,14,17
E00002342,181,105,36,15,14
E00002343,185,117,34,23,20
E00002374,117,113,31,12,27
E00002375,91,55,36,3,14
E00002376,81,78,15,11,24
E00002377,106,69,37,6,23
E00002738,123,101,21,12,20
E00002739,117,100,47,22,12
E00002741,116,63,40,19,8
E00002742,98,80,18,19,10
E00002743,102,64,34,12,16
E00002744,139,80,38,8,17
E00002745,123,80,24,17,8
E00002746,94,67,20,3,23
E00002762,138,99,39,20,22
E00002767,140,100,47,9,11
E00002771,137,85,38,7,13
E00002784,135,106,20,16,23
E00002787,63,79,19,7,14
E00002788,105,83,38,6,16
E00002789,101,64,25,23,10
E00002790,130,94,32,9,15
E00002791,134,108,61,3,19
E00002792,129,101,37,16,19
E00002793,141,95,36,9,18
E00002794,146,123,56,22,22
E00002795,121,134,48,21,18
E00002796,98,81,30,14,10
E00002902,98,100,14,16,17
E00002906,108,121,15,16,28
E00002908,108,121,23,15,25
E00002909,116,131,22,23,30
E00002912,136,105,14,22,21
E00002913,105,147,17,18,27
E00002917,124,128,14,26,20
E00002920,100,99,18,12,27
E00002921,79,109,24,20,30
E00002922,95,66,10,9,18
E00002923,95,117,17,24,20
E00002924,153,150,19,19,31
E00002925,95,76,23,16,20
E00002928,103,108,15,13,23
E00002929,95,79,12,14,21
E00002930,159,79,32,20,21
E00002931,138,65,40,24,17
E00002932,132,85,30,10,11
E00002933,188,125,38,29,15
E00002934,164,135,24,29,15
E00002935,131,87,29,47,8
E00002936,140,87,39,21,13
E00002937,171,85,31,20,19
E00002938,117,84,20,13,15
E00002939,146,69,26,20,10
E00002940,174,113,25,29,18
E00002941,95,74,10,22,8
E00002942,156,99,34,23,17
E00002943,111,95,21,13,13
E00002944,69,79,9,13,19
E00002945,153,85,34,14,18
E00002946,190,83,37,24,14
E00002947,217,101,35,20,25
E00002948,137,79,38,19,10
E00002949,162,120,46,18,18
E00002950,129,96,16,13,10
E00002951,126,114,36,22,14
E00002953,111,54,19,9,9
E00002954,114,53,20,10,15
E00002955,171,87,31,23,19
E00002956,128,63,21,13,7
E00002957,96,55,26,6,8
E00002958,143,82,32,18,13
E00002959,147,94,36,18,19
E00002960,111,78,20,11,5
E00002961,137,73,29,13,17
E00002962,152,93,36,15,9
E00002963,119,83,49,12,21
E00002964,130,79,10,16,19
E00002965,131,82,35,14,3
E00002966,132,86,40,17,10
E00002967,134,95,40,19,16
E00002968,181,69,25,11,13
E00002969,83,79,16,15,10
E00002970,190,64,37,17,18
E00002971,135,74,34,24,11
E00002972,203,95,62,24,15
E00002973,181,58,20,21,14
E00002974,150,90,36,20,23
E00002975,162,115,31,19,21
E00002976,178,98,52,19,16
E00002977,189,104,54,29,20
E00002979,136,111,34,13,9
E00002980,159,80,28,13,19
E00002981,137,93,30,11,14
E00002982,185,94,37,17,11
E00002983,166,108,49,10,15
E00002984,151,97,17,35,26
E00002985,147,117,38,15,17
E00002986,184,124,42,21,15
E00002987,141,94,24,21,20
E00002988,123,92,37,11,10
E00002989,142,101,23,23,11
E00002990,147,93,29,21,11
E00002991,155,130,30,16,8
E00002992,149,165,35,26,19
E00002993,130,115,27,22,24
E00002994,178,94,25,12,11
E00002995,149,113,30,21,11
E00002996,152,88,35,22,21
E00002997,200,93,44,25,17
E00002998,184,86,31,18,22
E00002999,152,65,20,12,25
E00003000,155,80,61,20,8
E00003041,162,113,25,30,20
E00003042,186,108,24,37,39
E00003043,168,101,35,23,19
E00003044,98,107,11,13,17
E00003045,145,79,46,40,16
E00003046,182,115,25,30,22
E00003047,171,89,25,21,11
E00003048,154,89,19,15,21
E00003049,192,98,21,17,23
E00003050,209,104,21,22,13
E00003051,155,128,17,32,13
E00003052,214,96,33,32,42
E00003053,194,107,37,28,22
E00003054,168,122,43,14,19
E00003056,180,131,17,19,18
E00003057,213,141,30,20,10
E00003058,175,111,37,30,16
E00003059,247,135,36,28,18
