geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E00015204,23,47,47,7,16,6,0,0,71
E00015205,22,84,30,6,10,5,0,0,85
E00015206,5,49,26,16,2,0,1,0,23
E00015226,8,40,22,12,3,1,1,1,57
E00015229,10,17,13,4,13,1,0,0,70
E00015230,15,26,20,12,11,2,0,0,58
E00015231,28,45,19,14,6,1,3,0,96
E00015232,17,72,24,23,6,1,3,0,106
E00015233,20,31,25,26,8,1,6,0,93
E00015234,24,29,22,9,8,3,1,1,106
E00015235,30,28,27,7,12,2,0,0,132
E00015236,8,36,19,7,3,1,0,0,46
E00015237,27,54,14,14,9,2,0,1,101
E00015238,8,38,17,6,3,2,0,0,24
E00015239,23,51,22,8,4,5,0,1,71
E00015240,13,47,14,5,13,0,2,0,99
E00015241,26,72,30,4,7,7,1,2,137
E00015242,10,64,26,11,0,0,1,0,57
E00015243,6,41,14,12,3,0,0,0,32
E00015244,32,73,38,15,10,4,1,0,137
E00015245,1,52,27,8,0,0,0,0,36
E00015246,12,42,29,12,23,0,3,0,57
E00015247,7,31,17,11,2,1,1,0,52
E00015248,21,73,45,18,15,7,0,0,156
E00015249,20,66,28,11,7,5,1,0,87
E00015435,10,23,29,5,10,1,1,0,71
E00015436,4,28,29,12,8,2,0,0,52
E00015437,7,64,39,12,2,5,0,0,64
E00015438,18,28,36,9,3,4,1,1,85
E00015439,19,40,21,12,6,4,0,0,45
E00015440,9,29,28,6,9,0,2,0,48
E00015443,23,16,28,5,14,5,0,0,84
E00015444,8,20,26,6,5,1,0,0,38
E00015445,10,12,36,12,13,2,1,0,66
E00015446,4,25,28,8,5,0,0,0,59
E00015447,7,25,30,4,3,1,2,1,37
E00015448,11,20,31,4,5,3,0,0,64
E00015450,4,19,15,5,3,3,1,0,27
E00015451,4,26,34,9,4,2,0,0,25
E00015452,8,24,37,8,3,4,1,0,42
E00015475,10,19,32,8,11,5,3,0,83
E00015476,31,14,30,6,18,0,2,0,106
E00015477,15,21,24,6,14,1,2,0,97
E00015478,17,19,41,14,10,3,1,1,88
E00015479,3,30,32,12,5,1,1,0,53
E00015480,19,26,29,17,7,3,2,1,67
E00015481,12,27,33,2,8,0,1,1,40
E00015482,5,30,28,4,7,1,0,1,32
E00015483,4,21,25,7,1,0,1,0,14
E00015490,40,32,28,23,13,4,1,0,156
E00015492,7,29,13,10,6,1,1,0,29
E00015526,10,28,47,10,11,4,1,0,69
E00015527,7,22,23,6,6,3,1,0,74
E00015528,9,29,39,6,8,6,0,0,70
E00015529,11,32,32,6,13,7,1,0,69
E00015530,10,32,59,20,13,4,0,1,71
E00015532,5,31,16,7,9,2,0,0,33
E00015533,5,22,23,3,5,2,1,0,45
E00015534,4,15,19,3,5,3,0,0,35
E00015536,11,17,42,10,10,7,2,0,76
E00015540,2,24,36,3,11,4,1,1,43
E00015551,18,44,25,4,9,2,1,2,69
E00015552,4,50,22,10,3,3,2,0,43
E00015553,7,27,45,8,13,4,1,1,52
E00015554,19,32,32,1,9,1,1,2,82
E00015555,10,33,31,8,6,1,3,0,85
E00015556,14,22,34,17,8,3,2,0,87
E00015557,12,26,60,4,9,5,2,0,66
E00015558,8,35,49,9,7,2,0,0,101
E00015559,14,39,35,8,6,5,0,0,69
E00015560,8,20,42,8,5,3,0,0,60
E00015561,8,39,28,9,11,1,0,2,52
E00015562,3,20,27,8,5,1,1,0,55
E00015563,2,55,15,20,11,0,2,0,72
E00015564,13,29,36,9,11,4,0,0,63
E00015565,4,23,22,10,3,2,1,0,47
E00015566,4,14,28,10,9,4,2,1,41
E00015567,7,31,29,14,8,1,1,0,109
E00015568,14,22,41,4,15,7,4,1,66
E00015569,9,24,51,8,13,3,3,2,78
E00015570,5,32,39,4,10,8,0,1,97
E00015571,7,17,10,0,2,2,0,0,17
E00015572,13,16,37,10,9,0,1,0,56
E00015573,12,34,42,7,11,4,1,0,78
E00015713,15,38,25,7,10,1,1,0,89
E00015716,6,32,18,12,4,0,0,1,71
E00015718,9,85,19,7,3,1,0,0,81
E00015735,14,55,39,4,15,3,5,0,113
E00015737,22,56,48,21,16,6,0,1,173
E00015739,13,24,36,8,7,2,0,0,78
E00015740,11,40,28,8,15,3,1,1,80
E00015741,10,18,33,5,10,6,2,0,77
E00015744,6,19,25,5,3,4,0,0,53
E00015745,18,47,57,19,14,7,3,0,146
E00015747,12,52,43,10,10,3,0,0,114
E00015750,13,37,31,8,7,2,0,0,86
E00015752,12,44,33,9,11,5,0,0,105
E00015753,15,34,27,5,13,1,1,0,66
E00015800,5,64,36,13,4,1,2,5,37
E00015801,13,65,31,6,6,1,2,0,98
E00015802,10,46,29,9,8,1,1,0,34
E00015803,16,38,38,5,10,2,1,0,100
E00015804,25,50,39,6,15,1,1,0,118
E00015806,20,30,39,4,12,2,0,0,70
E00015807,21,38,20,11,7,1,1,0,116
E00015808,9,28,38,3,13,2,2,2,78
E00015810,12,47,25,9,14,1,1,0,99
E00015811,12,34,19,7,11,8,2,1,104
E00015812,14,38,39,7,7,5,0,0,75
E00015814,16,22,26,3,9,4,0,0,65
E00015815,8,23,25,3,14,2,1,0,66
E00015816,12,37,38,8,13,5,0,0,80
E00015817,12,38,32,5,11,6,1,0,73
E00015818,24,22,35,6,15,5,0,0,81
E00015819,24,24,31,17,16,8,0,0,85
E00015820,14,32,31,7,4,3,2,0,63
E00015821,7,36,25,7,10,7,0,2,83
E00015822,6,41,24,5,10,3,0,0,70
E00015823,7,32,34,7,14,5,0,0,101
E00015824,6,35,32,8,5,0,0,0,84
E00015825,18,33,19,8,11,6,2,0,42
E00015826,3,52,26,5,2,0,2,0,39
E00015827,3,31,11,11,1,0,0,0,46
E00015828,18,46,15,4,6,3,0,0,92
E00015829,3,49,15,12,1,1,0,1,41
E00015830,8,35,13,7,1,1,1,0,39
E00015831,16,29,27,5,7,2,0,0,66
E00015832,12,36,15,3,6,1,1,0,55
E00015833,7,54,14,6,5,0,2,0,46
E00015834,11,39,17,5,2,3,0,0,46
E00015835,17,44,16,4,10,6,0,0,76
E00015836,9,46,13,5,5,2,0,0,51
E00015838,7,28,23,3,6,2,0,0,54
E00015839,19,27,30,2,11,6,0,1,73
E00015840,13,19,17,4,18,7,0,0,50
E00015841,17,44,27,8,5,1,0,0,61
E00015842,7,38,21,3,3,2,0,0,50
E00015843,14,26,37,6,17,14,0,0,66
E00015844,6,46,28,10,3,2,0,0,28
E00015845,5,27,25,5,6,3,3,0,67
E00015847,15,25,35,7,9,4,1,2,59
E00015890,5,30,17,11,3,3,1,0,38
E00015891,7,27,27,5,6,6,1,0,34
E00015892,3,35,51,10,6,2,2,1,22
E00015893,20,23,33,5,16,5,1,0,69
E00015894,3,20,26,5,2,6,3,0,46
E00015896,6,46,28,8,7,3,0,0,63
E00015897,2,21,24,7,2,1,1,0,23
E00015899,8,21,39,8,5,1,0,0,67
E00015908,18,54,27,12,11,8,1,0,166
E00015909,6,40,19,6,6,2,0,0,74
E00015910,12,41,33,12,10,3,0,0,109
E00015911,18,48,32,7,5,5,2,1,97
E00015912,9,63,18,7,5,3,1,0,57
E00015913,7,49,34,5,13,4,0,0,124
E00015914,10,28,28,15,10,4,0,0,95
E00015915,10,49,25,10,5,3,1,0,78
E00015916,14,64,18,6,7,1,1,0,119
E00015917,17,41,37,10,13,3,1,0,59
E00015918,18,42,44,12,9,6,0,0,90
E00015919,4,32,12,4,1,0,1,0,33
E00015920,3,48,17,3,1,2,0,0,35
E00015921,8,50,63,12,5,4,1,0,56
E00015922,8,35,41,6,9,5,3,1,54
E00015923,9,31,35,8,5,3,1,0,63
E00015924,13,51,31,9,9,9,0,1,127
E00015925,9,40,27,9,3,8,0,0,75
E00015926,20,50,34,20,7,1,0,0,110
E00015927,6,36,31,5,3,6,1,0,59
E00015928,4,29,25,9,11,1,0,2,61
E00015929,12,55,45,3,7,6,1,0,94
E00015930,7,36,32,5,10,5,1,1,46
E00015931,13,37,30,10,11,4,0,0,78
E00015932,8,45,35,10,6,4,0,0,104
E00015933,19,26,25,6,8,4,3,0,100
E00015934,22,19,21,8,10,1,2,0,69
E00015936,9,31,37,3,6,5,0,0,61
E00015939,14,18,28,11,11,3,0,0,112
E00015941,9,38,22,10,5,1,0,0,49
E00015943,6,47,18,7,4,0,0,2,50
E00015952,8,72,34,11,2,0,0,0,38
E00015956,2,61,26,8,4,1,0,0,47
E00015957,0,55,20,10,5,1,0,0,25
E00015963,5,75,12,9,3,3,0,0,49
E00015964,5,54,25,10,3,5,0,0,46
E00015981,14,11,22,5,10,3,2,1,48
E00015982,14,9,40,7,12,1,4,0,89
E00015983,15,20,39,6,9,5,1,0,77
E00015984,35,48,28,13,17,3,0,0,122
E00015985,14,37,30,10,7,5,1,1,110
E00015986,20,19,38,11,18,4,1,0,96
E00015987,16,26,35,11,15,5,2,1,116
E00015988,14,15,33,11,16,2,0,1,79
E00015989,3,45,29,11,3,1,0,0,49
E00015990,14,70,39,14,14,2,1,0,108
E00015991,14,20,42,11,18,3,0,1,70
E00015992,19,46,32,8,10,4,0,2,81
E00015993,8,15,28,8,15,2,0,0,56
E00015994,22,21,34,14,19,3,1,0,68
E00015995,10,21,39,13,13,2,1,1,77
E00015996,12,26,35,22,11,2,2,0,88
E00015997,12,62,22,14,4,4,1,0,113
E00015998,39,50,30,10,15,1,1,2,116
E00015999,13,34,18,14,7,3,0,0,76
E00016000,8,32,25,11,5,0,1,0,43
E00016001,4,24,25,13,3,3,0,0,28
E00016002,10,45,25,19,13,4,1,3,75
E00016003,24,16,19,9,12,1,3,0,83
E00016004,5,41,44,13,6,3,1,2,47
E00016005,22,25,41,11,11,1,2,0,58
E00016006,35,54,30,11,21,5,2,0,147
E00016007,21,12,48,12,11,6,1,1,81
E00016008,20,62,18,4,9,3,1,0,86
E00016009,3,22,29,12,0,0,1,1,28
E00016010,8,6,34,6,11,0,2,2,31
E00016011,21,51,31,7,5,4,1,0,122
E00016012,10,29,26,5,5,2,1,0,77
E00016013,23,44,40,13,7,5,2,0,111
E00016014,10,12,19,4,13,3,0,1,50
E00016015,18,52,20,10,12,1,2,0,84
E00016016,9,54,22,7,8,5,4,1,123
E00016017,7,50,24,9,4,0,1,0,73
E00016018,17,34,25,6,9,4,1,0,91
E00016019,15,11,35,10,24,2,0,0,79
E00016020,8,58,32,14,3,1,0,1,39
E00016022,25,34,13,3,9,7,2,0,72
E00016023,29,33,21,7,9,5,0,0,95
E00016025,11,27,10,7,6,4,2,0,58
E00016026,25,36,30,8,5,0,1,0,102
E00016027,25,42,26,9,7,1,0,1,72
E00016028,3,38,19,7,2,0,2,2,29
E00016029,22,43,31,10,5,6,2,0,89
E00016030,24,33,22,12,3,4,0,0,90
E00016031,7,65,23,12,3,2,0,1,32
E00016032,32,42,33,5,20,4,0,1,73
E00016033,9,58,24,8,6,3,1,2,44
E00016034,28,43,36,15,4,4,3,0,57
E00016035,4,72,31,15,4,1,1,0,63
E00016036,4,26,27,3,3,0,0,0,41
E00016037,3,48,23,22,3,4,2,1,36
E00016038,10,65,28,6,2,1,0,0,42
E00016039,8,78,22,8,4,4,1,1,51
E00016040,7,70,31,15,6,1,3,0,49
E00016041,3,89,30,8,2,3,2,0,51
E00016042,18,58,22,10,9,2,0,0,91
E00016052,30,22,11,6,5,3,0,1,97
E00016053,25,36,22,4,14,2,1,1,114
E00016054,36,28,18,12,10,5,2,0,136
E00016055,39,28,15,15,10,1,0,0,102
E00016056,20,26,17,4,13,4,2,0,101
E00016057,8,60,20,8,4,0,1,0,54
E00016058,4,54,21,10,4,0,0,2,46
E00016059,29,44,27,9,4,3,1,0,105
E00016060,16,34,21,9,7,2,0,0,60
E00016061,17,23,17,9,3,2,2,0,56
E00016062,12,37,17,3,8,0,1,0,62
