geocode,female,male
E00016675,94,139
E00016679,182,136
E00016680,101,118
E00016684,119,115
E00016687,83,98
E00016689,137,125
E00016693,183,170
E00016694,176,151
E00016701,107,117
E00016706,133,113
E00016708,161,188
E00016709,196,198
E00016714,178,128
E00016725,139,114
E00016879,208,236
E00016881,124,108
E00016884,175,171
E00016885,140,135
E00016887,95,121
E00016889,143,147
E00016890,156,139
E00016893,186,184
E00016895,137,143
E00016896,126,174
E00016898,122,155
E00016901,107,100
E00016904,149,112
E00016906,132,133
E00016908,111,115
E00016911,255,188
E00016912,127,97
E00016915,127,156
E00016916,194,165
E00016918,182,186
E00016920,163,170
E00016921,149,153
E00016922,149,165
E00016923,156,221
E00016925,189,241
E00016926,177,160
E00019685,211,166
E00019686,183,186
E00019688,138,120
E00019689,204,202
E00019690,163,209
E00019691,196,222
E00019692,158,176
E00019696,156,158
E00019697,155,156
E00019698,207,188
E00019699,138,122
E00019700,187,194
E00019701,186,123
E00019702,175,203
E00019704,224,195
E00019705,214,236
E00019706,226,182
E00019707,156,139
E00019709,174,149
E00019710,223,217
E00019712,120,123
E00019713,204,235
E00019714,151,145
E00019716,270,256
E00019717,251,212
E00019719,206,194
E00019720,146,139
E00019721,167,144
E00019730,158,114
E00019763,126,121
E00019888,120,128
E00019898,170,149
E00019900,211,162
E00019901,143,154
E00019902,190,191
E00019903,186,160
E00019904,169,153
E00019905,130,144
E00019906,126,114
E00019907,159,155
E00019908,157,148
E00019909,166,180
E00019910,167,137
E00019911,136,125
E00019912,221,215
E00019913,205,186
E00019914,169,163
E00019915,93,76
E00019916,165,152
E00019920,155,162
E00020054,250,234
E00020055,164,164
E00020056,165,131
E00020062,246,228
E00020065,244,214
E00020068,205,174
E00020069,181,142
E00020070,196,154
E00020071,167,161
E00020072,140,166
E00020073,229,198
E00020074,222,193
E00020075,205,201
E00020076,132,166
E00020077,202,164
E00020078,206,216
E00020079,147,146
E00020080,165,164
E00020081,248,194
E00020082,239,266
E00020083,172,144
E00020084,229,215
E00020140,200,167
E00020141,163,155
E00020142,182,215
E00020143,241,251
E00020144,175,180
E00020145,199,254
E00020146,149,162
E00020147,156,150
E00020148,285,240
E00020149,212,219
E00020150,157,146
E00020151,120,108
E00020152,177,164
E00020153,170,152
E00020154,187,181
E00020155,163,155
E00020156,189,187
E00020157,167,195
E00020158,198,266
E00020160,232,267
E00020161,164,158
E00020163,198,193
E00020164,167,165
E00020165,200,198
E00020166,164,138
E00020167,204,137
E00020168,214,246
E00020169,119,131
E00020170,164,148
E00020171,203,168
E00020172,156,135
E00020173,168,130
E00020174,152,166
E00020175,131,113
E00020176,164,173
E00020177,174,137
E00020179,162,138
E00020180,204,178
E00020181,175,170
E00020182,123,120
E00020183,160,182
E00020184,180,167
E00020185,201,188
E00020186,194,151
E00020188,162,127
E00020190,138,149
E00020191,351,273
E00020192,196,188
E00020193,164,153
E00020194,312,279
E00020195,182,132
E00020196,177,133
E00020197,150,157
E00020198,250,294
E00020199,242,194
E00020200,156,175
E00020201,262,299
E00020202,307,282
E00020203,193,225
E00020207,268,246
E00020208,147,131
E00020209,192,184
E00020210,256,217
E00020211,180,161
E00020213,174,159
E00020214,155,134
E00020215,148,147
E00020216,178,153
E00020217,171,154
E00020218,144,133
E00020219,208,163
E00020220,185,180
E00020221,120,141
E00020234,154,172
E00020235,159,143
E00020236,190,180
E00020238,225,212
E00020239,173,155
E00020240,157,127
E00020241,281,253
E00020242,189,163
E00020243,199,192
E00020244,185,188
E00020245,228,198
E00020246,231,212
E00020247,118,123
E00020248,133,144
E00020375,165,122
E00020376,246,143
E00020377,175,173
E00020379,133,136
E00020380,120,140
E00020381,171,176
E00020382,183,150
E00020384,159,160
E00020385,123,143
E00020386,152,142
E00020388,132,99
E00020389,183,172
E00020390,171,167
E00020391,192,159
E00020392,178,150
E00020393,134,132
E00020394,203,180
E00020395,130,132
E00020397,227,191
E00020398,200,147
E00020399,156,127
E00020400,152,162
E00020402,154,125
E00020403,193,172
E00020404,139,105
E00020406,143,126
E00020407,173,169
E00020408,268,262
E00020457,176,172
E00020458,201,201
E00020459,223,206
E00020460,172,154
E00020461,176,168
E00020462,150,128
E00020463,218,186
E00020464,147,129
E00020465,163,164
E00020466,173,183
E00020468,177,152
E00020469,160,147
E00020470,156,133
E00020471,169,169
E00020472,193,143
E00020473,288,266
E00020474,130,117
E00020475,162,134
E00020476,259,260
E00020477,194,223
E00020478,241,225
E00020479,192,196
E00020480,161,186
E00020481,237,218
E00020482,288,217
E00020483,169,128
E00020484,171,188
E00020485,198,211
E00020486,224,242
E00020487,233,236
E00020488,107,116
E00020489,188,153
E00020490,165,144
E00020491,170,163
E00020492,160,143
E00020493,196,218
E00020494,163,140
E00020495,130,127
E00020496,130,148
E00020497,112,114
E00020504,147,162
E00020506,225,193
E00020508,139,130
E00020509,162,142
E00020511,150,129
E00020512,154,135
E00167505,132,148
E00167506,114,116
E00167508,132,123
E00167510,105,118
E00167511,182,166
E00167682,177,171
E00167684,154,136
E00167685,179,166
E00167687,183,167
E00167752,142,120
E00167754,134,122
E00167757,72,80
E00167765,133,140
E00167975,247,262
E00167976,174,197
E00167978,185,157
E00167990,155,157
E00168009,166,169
E00168010,155,169
E00168012,113,88
E00168013,65,63
E00168015,212,208
E00168017,88,107
E00168018,175,169
E00168020,56,45
E00168021,117,64
E00168024,180,190
E00173939,112,103
E00173940,164,182
E00173949,162,226
E00173950,131,133
E00173951,164,149
