geocode,all
E00018220,30.0
E00018243,31.0
E00018250,33.0
E00021235,26.0
E00021236,27.0
E00021260,30.0
E00021261,29.0
E00021262,30.0
E00021263,29.0
E00021273,38.0
E00021274,29.0
E00021275,37.0
E00021277,37.0
E00021278,27.0
E00021279,28.0
E00021280,30.0
E00021281,28.0
E00021282,29.0
E00021285,30.0
E00021286,30.0
E00021287,30.0
E00021288,31.0
E00021289,26.0
E00021290,27.0
E00021291,30.0
E00021292,27.0
E00021294,24.0
E00021295,30.0
E00021296,31.0
E00021297,33.0
E00021298,31.0
E00021299,30.0
E00021300,28.0
E00021301,26.0
E00021302,28.0
E00021303,28.0
E00021304,27.0
E00021305,31.0
E00021306,34.0
E00021307,29.0
E00021308,27.0
E00021309,30.0
E00021310,34.0
E00021311,28.0
E00021312,28.0
E00021313,29.0
E00021314,34.0
E00021315,63.0
E00021316,27.0
E00021317,34.0
E00021318,29.0
E00021319,28.0
E00021320,32.0
E00021321,29.0
E00021322,30.0
E00021323,29.0
E00021324,31.0
E00021325,29.0
E00021326,25.0
E00021327,34.0
E00021328,26.0
E00021329,32.0
E00021330,28.0
E00021331,30.0
E00021332,24.0
E00021333,28.0
E00021334,32.0
E00021335,28.0
E00021336,25.0
E00021337,27.0
E00021338,25.0
E00021339,29.0
E00021340,28.0
E00021342,25.0
E00021344,25.0
E00021345,27.0
E00021346,27.0
E00021347,24.0
E00021349,27.0
E00021350,26.0
E00021351,28.0
E00021352,29.0
E00021353,30.0
E00021354,27.0
E00021355,30.0
E00021357,26.0
E00021359,25.0
E00021360,25.0
E00021361,25.0
E00021363,27.0
E00021364,28.0
E00021365,32.0
E00021366,29.0
E00021367,28.0
E00021368,29.0
E00021369,24.0
E00021370,23.0
E00021371,20.0
E00021372,29.0
E00021374,27.0
E00021375,26.0
E00021376,26.0
E00021377,28.0
E00021378,28.0
E00021379,35.0
E00021380,41.0
E00021381,25.0
E00021382,24.0
E00021383,27.0
E00021384,36.0
E00021385,27.0
E00021386,26.0
E00021387,27.0
E00021388,29.0
E00021392,34.0
E00021393,27.0
E00021394,28.0
E00021395,28.0
E00021396,32.0
E00021397,24.0
E00021398,29.0
E00021399,37.0
E00021400,27.0
E00021402,31.0
E00021404,31.0
E00021405,28.0
E00021406,29.0
E00021407,23.0
E00021408,30.0
E00021409,33.0
E00021410,28.0
E00021411,32.0
E00021412,26.0
E00021413,27.0
E00021414,25.0
E00021415,26.0
E00021416,29.0
E00021417,30.0
E00021418,33.0
E00021419,25.0
E00021420,34.0
E00021421,29.0
E00021423,28.0
E00021424,32.0
E00021428,27.0
E00021429,28.0
E00021430,27.0
E00021431,31.0
E00021432,30.0
E00021433,28.0
E00021434,27.0
E00021437,28.0
E00021438,41.0
E00021439,28.0
E00021440,26.0
E00021444,25.0
E00021445,24.0
E00021446,23.0
E00021447,30.0
E00021466,21.0
E00021467,24.0
E00021473,20.0
E00021474,26.0
E00021476,26.0
E00021477,27.0
E00021478,28.0
E00021479,25.0
E00021480,29.0
E00021481,25.0
E00021482,26.0
E00021483,29.0
E00021484,26.0
E00021485,26.0
E00021486,26.0
E00021487,26.0
E00021488,28.0
E00021489,27.0
E00021490,26.0
E00021491,26.0
E00021492,28.0
E00021493,24.0
E00021494,27.0
E00021495,25.0
E00021496,24.0
E00021497,24.0
E00021498,26.0
E00021499,27.0
E00021500,29.0
E00021501,30.0
E00021502,26.0
E00021503,26.0
E00021504,27.0
E00021505,27.0
E00021506,30.0
E00021507,28.0
E00021508,28.0
E00021509,29.0
E00021559,37.0
E00021560,30.0
E00021563,30.0
E00021565,29.0
E00021579,24.0
E00021580,25.0
E00021582,27.0
E00021584,31.0
E00021585,24.0
E00021591,23.0
E00021651,33.0
E00021658,35.0
E00021666,29.0
E00167082,26.0
E00167083,26.0
E00167084,28.0
E00167085,30.0
E00167086,28.0
E00167087,30.0
E00167088,28.0
E00167089,30.0
E00167090,29.0
E00167091,27.0
E00167092,26.0
E00167103,31.0
E00167104,31.0
E00167105,25.0
E00167106,31.0
E00167107,31.0
E00167123,27.0
E00167124,28.0
E00167128,25.0
E00167136,27.0
E00167138,27.0
E00167140,27.0
E00167141,29.0
E00167143,28.0
E00167144,26.0
E00167154,31.0
E00167155,28.0
E00167156,27.0
E00167161,28.0
E00167181,25.0
E00167184,28.0
E00167185,36.0
E00167186,27.0
E00167187,27.0
E00167189,28.0
E00167190,28.0
E00167191,29.0
E00167192,28.0
E00167193,36.0
E00167194,27.0
E00167195,29.0
E00167196,39.0
E00167202,46.0
E00167204,31.0
E00167208,31.0
E00167209,29.0
E00167210,30.0
E00167211,24.0
E00167212,28.0
E00167213,25.0
E00167214,27.0
E00167215,27.0
E00167216,24.0
E00167217,28.0
E00167218,26.0
E00167219,26.0
E00167227,30.0
E00167228,29.0
E00167229,30.0
E00167230,30.0
E00167231,26.0
E00167232,30.0
E00167233,30.0
E00167234,26.0
E00167235,26.0
E00167236,28.0
E00167237,31.0
E00167238,27.0
E00167239,25.0
E00167240,25.0
E00167246,31.0
E00167247,29.0
E00167251,19.0
E00167253,29.0
E00167254,23.0
E00167255,28.0
E00167256,29.0
E00167257,29.0
E00167258,25.0
E00167259,25.0
E00167263,26.0
E00167264,30.0
E00167266,34.0
E00174987,28.0
E00174990,28.0
E00175021,28.0
E00175037,27.0
E00175053,29.0
E00175054,33.0
E00175067,28.0
E00175068,26.0
E00175073,28.0
E00175074,27.0
E00175077,29.0
E00175078,27.0
E00175081,30.0
