geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E00075206,26,32,17,31,58,41,59,13,8
E00075207,31,50,14,32,65,41,35,7,9
E00075208,37,71,21,34,80,46,41,9,11
E00075209,15,44,26,21,69,43,57,23,25
E00075210,36,44,36,33,57,37,55,9,14
E00075211,30,23,15,21,27,26,15,3,8
E00075212,24,20,11,31,21,13,14,9,20
E00075213,48,54,28,46,73,56,22,3,9
E00075214,40,47,18,37,48,41,42,13,19
E00075217,16,22,19,10,32,19,16,3,10
E00112689,37,36,23,31,61,42,47,7,25
E00112690,42,56,39,40,67,55,41,7,16
E00112692,30,29,25,28,69,69,71,14,24
E00112694,30,21,16,26,42,33,19,8,16
E00112857,14,8,11,11,25,18,18,9,15
E00112858,36,43,22,24,50,58,46,12,15
E00112860,20,38,16,16,47,46,54,20,16
E00112862,34,21,25,33,43,48,49,11,45
E00112927,58,50,31,40,58,39,33,14,23
E00112928,32,40,17,24,47,53,53,10,18
E00112929,37,21,31,49,32,45,59,17,52
E00112930,36,22,19,29,36,43,36,21,73
E00112931,33,22,27,39,37,30,38,28,65
E00112932,32,23,21,41,37,31,42,14,18
E00112933,37,31,38,39,52,37,21,13,24
E00112934,29,43,44,40,37,45,40,8,17
E00112935,37,41,29,25,50,36,53,19,22
E00112936,53,33,20,37,57,64,60,26,29
E00112937,16,9,24,24,28,29,39,14,65
E00112938,16,20,30,26,44,29,42,18,31
E00112939,32,18,13,19,40,41,51,28,53
E00112940,21,14,9,31,40,40,34,13,29
E00112941,45,48,43,50,41,43,47,16,35
E00112942,51,35,24,51,57,52,43,11,12
E00112943,38,37,33,30,50,35,41,16,28
E00112944,27,22,19,35,38,53,36,11,27
E00112950,45,43,28,35,77,65,63,15,41
E00113186,47,51,28,39,50,23,41,14,34
E00113187,36,46,33,35,78,54,70,17,30
E00113188,24,35,26,23,55,51,92,21,32
E00113189,23,35,24,16,34,26,23,13,17
E00113190,39,40,32,38,50,53,54,8,40
E00113191,17,35,25,37,66,76,59,21,35
E00113192,19,43,40,18,55,71,66,17,48
E00113194,47,44,43,31,46,40,29,23,58
E00113255,6,9,6,15,24,34,46,27,54
E00113256,30,31,26,33,29,42,32,5,12
E00113257,45,22,36,43,41,34,39,10,26
E00113350,9,32,18,12,38,40,50,21,26
E00113351,37,44,33,39,48,45,47,24,34
E00113352,7,3,12,11,19,15,28,8,20
E00113353,27,41,26,32,34,28,55,14,31
E00113354,12,26,17,22,36,35,57,30,41
E00113355,22,18,20,24,34,30,48,21,41
E00113356,32,50,18,32,58,32,79,15,26
E00113357,17,22,20,15,23,29,60,16,35
E00113358,17,23,20,13,39,29,57,22,45
E00113359,13,22,26,23,33,28,55,22,38
E00113360,24,25,24,23,39,37,39,16,34
E00113361,31,21,28,35,31,22,52,18,34
E00113362,38,26,31,36,36,40,40,12,23
E00113363,53,48,59,57,49,48,37,12,24
E00113364,51,50,45,37,36,39,44,19,24
E00113365,31,30,72,27,42,42,42,10,10
E00113366,24,47,33,36,55,34,41,12,21
E00113367,39,57,42,42,64,40,37,12,15
E00113368,55,44,40,55,42,46,49,17,25
E00113369,60,40,40,43,35,30,39,11,18
E00113456,29,44,70,51,57,58,32,10,30
E00113457,59,41,35,57,27,31,26,8,25
E00113458,32,29,49,24,35,33,24,7,9
E00113459,29,35,39,27,37,43,48,6,29
E00113460,42,15,42,41,27,8,10,4,4
E00113461,33,40,41,34,43,58,50,2,11
E00113462,33,36,29,43,40,27,22,12,31
E00113463,44,28,42,23,36,35,20,6,22
E00113488,29,10,38,30,23,20,15,9,34
E00113531,45,32,48,43,53,27,14,4,5
E00113532,25,42,24,26,50,42,34,12,15
E00113534,32,37,50,47,51,43,55,16,28
E00113535,36,30,29,32,49,45,28,6,15
E00113536,23,26,17,23,30,25,28,12,56
E00113537,0,0,0,1,1,13,52,36,42
E00113538,31,50,27,32,57,37,24,5,4
E00113539,37,31,40,32,35,41,26,11,15
E00113540,28,38,43,33,41,55,26,6,9
E00113541,62,45,47,60,57,48,27,5,3
E00113542,21,27,39,26,41,54,35,4,29
E00113543,23,31,29,21,41,38,23,6,33
E00113544,37,37,42,54,45,33,17,4,10
E00113545,40,35,34,43,46,18,12,5,7
E00113546,32,32,57,52,51,29,20,8,15
E00113547,40,15,71,47,34,22,8,1,0
E00113548,59,33,88,52,33,17,5,1,1
E00113549,38,20,47,38,35,24,18,15,19
E00113550,51,45,56,52,55,32,26,9,9
E00113551,71,56,45,68,81,66,42,7,12
E00113552,42,54,28,39,73,42,26,5,3
E00113553,63,40,52,80,85,52,20,7,3
E00113554,40,24,72,71,41,32,14,3,1
E00113555,55,31,67,80,44,26,8,2,2
E00113556,72,77,44,97,94,37,11,5,4
E00113557,55,26,74,61,38,35,18,0,3
E00113560,45,31,55,56,44,32,12,0,10
E00113561,37,40,30,32,61,28,21,7,11
E00113562,46,57,32,61,71,33,15,1,6
E00113563,33,67,33,43,57,34,24,14,8
E00113564,37,31,46,37,54,26,9,4,6
E00113565,35,47,28,32,55,40,29,16,110
E00113566,31,48,15,38,56,33,15,3,13
E00113567,40,32,45,64,54,22,20,2,3
E00113568,28,22,50,49,35,35,18,3,0
E00113569,26,37,33,38,51,27,13,5,13
E00113570,48,38,62,63,49,43,11,1,0
E00113571,10,28,23,16,29,41,40,20,46
E00113572,34,42,33,18,44,51,39,27,39
E00113573,26,37,27,25,46,70,33,10,15
E00113579,35,35,26,29,52,43,45,17,25
E00113580,34,34,36,41,42,48,40,8,19
E00113583,22,29,24,25,38,38,56,11,42
E00113585,18,20,18,14,23,49,49,25,46
E00113586,33,43,29,35,45,60,33,10,24
E00113587,36,25,33,35,28,42,20,9,13
E00113588,47,32,39,43,31,35,25,7,16
E00113589,92,102,60,66,63,28,16,4,8
E00113608,40,43,17,32,36,52,63,28,32
E00113609,28,35,19,22,46,43,56,19,37
E00113610,22,28,11,12,37,42,70,15,25
E00113611,26,44,20,31,55,50,49,20,30
E00113612,32,26,19,31,48,49,63,15,67
E00113613,35,32,16,24,45,37,43,14,30
E00113614,26,27,19,21,40,41,40,9,32
E00113617,48,23,42,56,37,29,16,11,14
E00113618,33,33,40,26,41,47,33,14,19
E00113620,28,23,16,40,49,41,59,16,48
E00113621,30,33,36,54,53,54,31,6,22
E00113623,42,34,33,37,57,58,38,13,41
E00113624,37,40,25,41,47,68,60,26,38
E00113626,6,12,13,13,23,37,30,7,14
E00113627,19,23,12,19,49,57,32,9,8
E00113630,28,56,16,18,65,58,63,25,45
E00113631,24,33,14,34,38,40,45,27,32
E00113632,37,55,29,49,61,58,47,14,32
E00113633,25,10,8,19,42,45,65,23,28
E00113634,25,20,9,17,33,49,72,18,37
E00113635,25,33,18,25,38,47,51,21,40
E00113636,19,19,11,33,37,42,44,19,32
E00113637,38,50,31,32,57,50,28,6,21
E00113638,38,43,26,35,58,40,30,7,24
E00113639,53,46,79,70,76,46,29,6,11
E00113640,53,47,31,41,68,29,36,4,24
E00113641,56,52,48,50,67,51,38,18,51
E00113642,74,60,81,65,75,50,32,4,16
E00113643,72,60,49,52,67,33,32,14,19
E00113644,54,67,51,69,82,75,47,14,29
E00113645,61,50,55,86,64,56,47,15,48
E00113646,39,40,35,29,48,51,35,10,26
E00113647,54,64,45,37,64,45,30,10,25
E00113648,33,44,56,59,54,35,26,7,12
E00113649,26,25,21,32,30,54,73,12,23
E00113650,33,34,21,29,34,27,28,14,55
E00113651,40,28,21,38,42,31,56,22,25
E00113652,39,49,37,36,46,33,43,8,40
E00113653,33,31,15,26,35,53,44,17,41
E00113654,30,59,30,31,75,42,43,16,21
E00113655,21,16,5,17,37,38,55,25,62
E00113656,27,18,27,40,49,31,17,9,12
E00113657,39,40,28,29,57,45,41,14,38
E00113658,20,12,22,21,25,21,32,26,41
E00113659,16,18,14,17,30,30,43,7,36
E00113660,27,55,33,25,63,33,48,12,25
E00113661,23,27,15,28,47,34,22,10,60
E00113662,34,24,25,24,41,41,54,6,21
E00113663,28,40,27,35,52,43,30,14,21
E00113664,38,53,19,37,74,79,83,23,44
E00113665,24,43,27,27,43,40,41,18,34
E00113666,29,34,19,19,41,52,43,17,31
E00113667,23,27,16,18,34,37,50,15,63
E00113668,31,36,37,35,70,55,53,24,28
E00113669,36,34,39,44,57,35,44,7,21
E00113670,48,41,44,47,60,48,18,7,12
E00113671,22,31,19,20,26,22,42,10,38
E00113672,19,43,20,27,57,56,38,14,32
E00113673,17,20,33,25,36,52,35,16,16
E00113674,37,32,31,34,41,63,61,19,32
E00113675,36,33,25,30,51,46,38,19,33
E00113676,11,23,15,23,35,31,44,23,34
E00113677,24,39,20,22,63,48,53,23,30
E00113678,38,58,44,36,53,28,31,8,13
E00113679,36,32,21,34,37,43,37,22,55
E00113680,28,46,32,34,55,40,33,12,27
E00113681,23,20,15,22,35,23,41,12,23
E00113682,37,32,30,25,35,25,23,15,37
E00113683,27,34,30,33,34,57,39,12,14
E00113684,34,29,24,36,37,32,28,7,20
E00113685,43,40,28,28,53,43,42,10,30
E00113686,18,37,115,80,61,50,32,17,17
E00113687,14,22,40,25,30,28,22,8,43
E00113688,39,29,41,34,44,48,50,17,29
E00113689,59,35,94,72,53,29,37,16,61
E00113690,48,38,33,80,51,43,36,10,13
E00113691,34,55,37,32,63,46,39,16,30
E00113692,26,29,21,16,52,65,84,38,66
E00113693,61,37,56,64,50,31,27,2,13
E00113694,34,25,34,51,32,32,19,7,11
E00113695,75,52,19,50,92,35,27,6,16
E00113696,49,38,11,20,61,46,36,14,27
E00113697,29,45,10,24,46,51,34,12,27
E00113698,37,37,19,20,60,60,44,17,36
E00113699,50,45,15,40,64,46,48,9,9
E00113700,37,31,23,51,46,28,41,6,24
E00113701,39,65,28,25,78,76,87,31,50
E00113702,32,37,9,26,53,27,37,9,12
E00113703,55,71,30,46,71,40,16,8,17
E00113704,51,67,17,33,84,41,33,9,9
E00113705,13,22,9,13,24,33,49,15,39
E00113706,32,54,18,26,73,49,49,16,23
E00113707,29,35,47,48,52,28,16,2,6
E00113708,50,31,40,47,49,25,20,5,10
E00113709,31,35,21,29,35,35,34,15,27
E00113710,26,47,22,32,65,55,70,19,29
E00113711,20,25,26,15,27,30,20,9,22
E00113712,24,37,26,37,62,49,27,6,26
E00113713,33,46,18,19,68,57,79,20,47
E00113714,20,54,36,20,75,64,54,22,34
E00113715,45,46,30,35,53,75,49,15,34
E00113716,29,32,17,22,41,29,31,8,18
E00113717,24,44,16,20,48,47,50,16,28
E00113718,20,25,20,18,35,39,34,13,26
E00113719,18,31,13,19,38,48,30,14,37
E00113720,7,17,11,9,23,32,28,6,20
E00113721,19,19,15,28,37,50,55,23,35
E00113722,37,26,18,38,54,33,54,31,33
E00113723,77,27,52,84,54,67,27,10,14
E00113724,21,18,15,34,26,22,22,8,96
E00113725,54,43,48,60,55,42,34,10,15
E00113726,32,32,34,47,34,22,27,9,32
E00113727,79,68,52,104,80,59,45,10,13
E00113728,32,27,28,37,51,29,33,6,19
E00113729,24,17,9,28,39,37,48,23,43
E00113730,34,24,30,38,52,33,30,29,30
E00113731,39,20,22,39,31,15,24,12,31
E00113732,63,45,44,49,49,35,22,4,7
E00113733,56,42,55,48,37,34,11,4,0
E00113734,67,74,49,49,64,42,15,9,7
E00113735,28,39,31,41,43,43,25,8,22
E00113736,34,38,25,32,53,47,60,22,32
E00113737,43,52,26,54,53,46,37,10,25
E00113738,35,35,53,49,62,41,33,17,6
E00113740,27,33,40,44,58,44,37,6,58
E00113741,33,40,25,37,43,68,56,22,38
E00113742,32,46,36,31,35,40,39,12,33
E00113743,48,59,57,44,75,70,57,10,22
E00113744,20,32,11,14,45,31,31,18,21
E00113745,23,21,24,31,37,28,37,16,19
E00113746,24,20,10,21,31,39,34,11,37
E00113747,33,50,41,38,44,56,29,7,15
E00113748,41,46,28,40,56,34,43,12,28
E00113749,20,24,31,23,36,30,19,4,40
E00113750,7,15,25,25,33,18,27,8,25
E00113751,23,19,29,30,32,28,28,10,13
E00113752,36,32,13,35,40,36,45,32,39
E00113753,30,43,13,23,54,25,71,22,27
E00113754,26,39,25,29,43,39,52,8,26
E00113755,19,19,23,14,33,37,37,11,26
E00113756,36,10,60,50,32,19,8,2,0
E00113757,19,16,57,38,28,22,11,0,3
E00113758,17,39,34,17,46,42,28,18,36
E00113759,23,37,20,30,45,43,42,6,18
E00113760,27,35,25,25,45,59,49,25,26
E00113761,31,41,30,35,63,40,37,6,8
E00113762,45,41,33,42,37,44,28,14,31
E00113763,36,28,25,40,44,35,21,2,12
E00113764,14,13,11,14,18,24,17,5,20
E00113765,50,67,33,48,56,58,49,18,31
E00113766,67,24,81,112,71,37,25,0,6
E00113767,72,71,36,58,100,54,25,9,10
E00113768,28,13,51,37,30,19,5,3,4
E00113769,24,6,30,39,22,22,30,7,10
E00113770,42,51,14,30,72,61,68,11,29
E00113771,19,41,12,22,62,52,51,9,17
E00113774,40,55,28,32,62,41,44,17,21
E00113775,29,39,22,24,51,57,41,18,26
E00113776,19,46,18,16,37,44,32,7,9
E00113778,70,39,15,67,58,38,33,10,47
E00113779,22,62,13,15,39,43,64,17,36
E00113780,31,45,35,61,74,86,89,31,39
E00113781,33,24,11,23,52,51,61,18,31
E00113782,40,28,30,27,52,47,54,16,37
E00113783,46,41,25,40,62,51,43,12,27
E00113784,32,32,17,30,41,47,54,22,49
E00113785,21,39,35,25,43,50,49,27,44
E00113786,22,22,7,24,27,31,23,6,54
E00113787,20,23,21,14,40,29,36,16,30
E00113788,30,33,6,22,47,37,57,26,71
E00113789,29,41,14,30,36,29,35,11,36
E00113790,40,31,13,30,33,25,44,17,53
E00113791,22,29,2,15,33,29,45,24,121
E00113792,32,18,17,25,29,41,36,22,55
E00113793,42,64,14,34,51,81,73,15,19
E00113794,59,67,33,49,72,59,61,14,13
E00113795,27,42,26,36,53,39,43,10,28
E00113796,38,33,38,41,35,23,17,4,5
E00113797,36,54,16,29,58,71,48,20,22
E00113798,49,51,78,69,64,48,40,18,35
E00113799,59,47,43,70,60,42,61,5,24
E00113800,33,27,13,29,41,44,51,22,30
E00113801,11,24,20,6,35,40,35,10,28
E00113802,28,55,25,23,51,57,43,10,25
E00113803,29,28,12,22,45,41,42,17,29
E00113804,24,21,24,31,38,49,40,9,12
E00113805,38,32,32,45,49,52,34,9,30
E00113806,29,36,15,22,57,64,39,24,26
E00113807,18,33,20,24,44,55,53,12,28
E00113808,88,74,55,72,59,42,38,10,16
E00113809,35,45,27,34,37,38,38,14,29
E00113810,34,33,19,33,44,46,50,12,32
E00113811,11,17,54,40,29,24,30,13,60
E00113812,29,44,26,41,56,86,69,20,87
E00113813,27,41,9,22,51,50,42,17,37
E00113814,26,47,8,29,58,42,43,7,30
E00113815,27,37,11,29,52,43,50,12,19
E00113816,28,41,18,34,52,37,54,7,25
E00113817,22,42,15,24,59,31,49,20,20
E00113818,25,53,16,23,66,37,48,14,21
E00113819,53,38,31,30,72,87,64,22,54
E00113820,40,49,28,36,60,73,90,17,56
E00113821,21,37,11,26,37,41,29,13,38
E00113822,29,23,8,26,33,23,33,24,64
E00113823,41,38,24,31,64,77,67,20,26
E00113824,31,34,13,14,57,64,49,28,33
E00113825,22,13,13,15,33,38,61,17,33
E00113826,24,33,15,29,32,59,59,27,30
E00113827,35,26,16,44,40,36,43,19,38
E00113828,18,16,5,13,24,12,18,16,54
E00113829,24,17,14,18,36,25,46,22,25
E00113830,20,23,9,14,26,32,75,33,75
E00113831,19,27,7,15,38,35,39,26,33
E00113832,17,19,8,13,32,42,61,16,24
E00113833,33,27,14,31,41,54,44,11,25
E00113834,21,29,13,35,41,35,43,20,32
E00113835,36,40,20,21,57,54,54,16,19
E00113836,32,48,24,35,57,35,24,8,25
E00113837,21,61,23,33,60,44,48,14,25
E00113838,45,39,42,60,53,52,22,6,15
E00113839,20,51,24,16,62,77,44,24,26
E00113840,26,26,66,59,60,32,18,3,7
E00113841,53,44,30,71,55,42,22,7,12
E00113842,50,26,21,61,46,42,39,13,9
E00113843,19,33,28,32,41,28,39,12,30
E00113844,28,23,19,21,55,29,40,22,45
E00113845,48,29,30,50,54,26,37,13,13
E00113846,28,23,16,29,33,37,38,32,36
E00113847,40,38,14,22,49,36,58,27,42
E00113848,54,62,30,45,91,64,77,11,25
E00113849,30,27,5,25,45,41,60,18,68
E00113850,22,39,34,23,64,64,62,15,37
E00113851,44,64,31,35,71,65,45,13,42
E00113852,57,40,32,42,46,44,39,11,32
E00113853,39,41,23,21,71,61,49,14,22
E00113854,45,40,18,44,64,58,47,13,31
E00113855,13,12,12,12,27,42,15,7,11
E00113856,36,37,25,40,58,58,61,18,25
E00113857,29,41,24,32,62,67,68,31,40
E00113858,35,63,37,28,67,58,45,19,32
E00113859,44,42,38,46,50,51,50,18,26
E00113860,74,69,32,81,112,78,44,10,16
E00113861,28,26,46,41,46,41,33,17,19
E00113862,52,43,39,48,69,36,16,17,13
E00113863,15,23,29,29,39,45,42,16,24
E00113864,45,38,44,35,58,34,28,6,14
E00113865,55,74,38,43,58,32,19,6,10
E00113866,17,28,32,43,45,24,18,8,10
E00113867,52,70,36,44,71,50,37,11,16
E00113868,66,65,40,61,90,41,30,10,5
E00113869,37,46,30,36,65,47,24,13,20
E00113870,18,13,20,17,21,23,39,21,58
E00113871,22,18,28,26,25,28,43,7,22
E00113872,30,30,39,34,46,50,22,6,14
E00113873,35,39,63,39,50,59,36,8,14
E00113874,38,37,32,45,33,34,44,13,31
E00113875,71,57,36,69,70,33,31,6,19
E00113876,34,57,44,39,63,54,17,6,16
E00113877,28,30,23,29,40,40,33,21,30
E00113878,21,25,39,36,37,37,32,10,18
E00113879,62,44,45,52,47,36,25,16,10
E00113880,26,22,33,40,32,32,41,16,24
E00113881,74,89,80,68,105,84,35,8,24
E00113882,27,28,29,20,33,30,23,16,23
E00113883,12,18,18,16,31,25,20,6,41
E00113884,16,16,29,26,27,63,58,19,27
E00113885,39,31,16,30,41,21,28,12,42
E00113886,20,16,31,27,34,22,63,22,56
E00113887,22,45,29,31,60,59,39,20,20
E00113888,31,24,35,49,57,52,38,10,20
E00113889,79,295,33,54,44,41,30,11,33
E00113890,29,26,33,51,33,66,32,9,21
E00113891,36,57,40,49,68,48,48,25,28
E00113892,8,22,10,14,23,31,26,10,11
E00113893,23,40,39,21,48,72,53,6,22
E00113894,23,43,22,23,41,52,43,14,28
E00113895,30,37,12,33,43,24,46,17,25
E00113896,34,24,12,34,40,52,64,20,30
E00113897,17,25,24,18,36,32,63,17,38
E00113898,23,27,19,18,54,45,49,19,32
E00113899,24,49,37,35,60,57,48,10,26
E00113900,27,26,22,17,29,33,63,13,37
E00113901,30,34,16,40,50,38,49,13,25
E00113902,49,33,37,32,39,46,29,14,17
E00113903,33,50,22,46,39,40,57,11,26
E00113904,22,31,22,21,36,49,47,26,26
E00113905,18,19,19,18,24,32,39,41,41
E00113906,51,46,21,53,75,78,41,17,22
E00113907,33,42,22,23,53,72,90,24,28
E00113908,39,27,20,30,57,41,37,13,16
E00113909,55,51,17,43,60,54,40,5,14
E00113910,32,56,19,37,65,51,36,9,15
E00113911,24,25,13,32,44,56,55,17,28
E00113912,24,50,29,36,53,54,31,9,17
E00113913,36,30,36,46,33,44,39,7,19
E00113914,15,27,22,33,40,41,44,7,24
E00113915,24,35,25,31,38,60,46,18,64
E00113916,46,59,22,40,49,42,20,9,15
E00113917,39,44,21,31,65,61,31,10,18
E00113918,33,47,30,45,52,58,20,11,10
E00113919,35,49,46,46,57,28,26,22,29
E00113920,30,13,30,55,42,54,26,15,10
E00113921,67,20,50,63,68,38,23,3,11
E00113922,34,51,31,35,59,50,36,11,31
E00113923,37,58,26,40,77,61,32,13,22
E00113924,28,52,45,29,54,53,35,18,29
E00113925,10,17,22,9,26,21,32,11,74
E00113926,40,44,34,39,50,54,27,18,22
E00113927,35,54,29,33,49,46,46,15,15
