geocode,asian,black,mixed,other,white
E00107872,17,0,0,0,326
E00107873,0,3,1,0,300
E00107874,7,1,2,3,357
E00107875,6,0,9,0,338
E00107876,16,1,8,0,302
E00107877,4,0,0,0,316
E00107878,17,5,7,4,268
E00107879,7,1,0,0,307
E00107880,9,3,8,0,423
E00107881,6,1,1,0,145
E00107882,12,2,1,1,334
E00107883,4,5,10,0,336
E00107884,1,2,3,3,310
E00107885,17,1,5,2,255
E00107886,0,1,0,0,291
E00107887,5,4,8,0,316
E00107888,7,0,6,0,252
E00107889,4,2,4,0,262
E00107890,4,0,5,3,331
E00107891,18,1,2,0,315
E00107892,6,0,0,0,245
E00107893,1,3,2,0,289
E00107894,7,2,3,0,315
E00107895,1,2,2,0,290
E00107896,6,0,2,0,290
E00107897,2,6,8,0,266
E00107898,5,1,0,0,350
E00107899,10,0,3,0,192
E00107900,0,0,6,1,357
E00107901,1,6,2,2,322
E00107902,4,14,5,10,311
E00107903,3,0,1,0,295
E00107904,11,1,5,1,385
E00107905,6,0,9,0,352
E00107906,10,6,3,0,304
E00107907,9,0,1,0,284
E00107908,14,1,4,0,348
E00107909,7,2,5,0,364
E00107910,5,0,0,0,301
E00107911,11,3,3,0,220
E00107912,11,0,1,0,305
E00107913,8,1,3,0,216
E00107914,0,0,1,0,201
E00107915,3,0,2,0,329
E00107916,3,0,0,1,227
E00107917,0,1,7,1,297
E00107918,5,5,6,1,291
E00107919,5,0,5,0,308
E00107920,4,4,2,0,249
E00107921,5,0,4,0,300
E00107922,5,1,5,2,307
E00107923,7,0,7,0,309
E00107924,2,0,0,0,254
E00107925,2,5,4,1,346
E00107926,11,0,7,2,263
E00107927,1,7,5,0,278
E00107928,10,3,7,1,273
E00107929,6,0,1,3,309
E00107930,9,0,5,0,277
E00107931,12,1,5,0,301
E00107932,17,5,6,1,275
E00107933,8,7,3,1,302
E00107934,2,2,7,1,278
E00107935,8,2,5,0,347
E00107936,5,0,0,0,360
E00107937,0,3,0,0,358
E00107938,13,0,1,1,305
E00107939,2,0,3,0,290
E00107940,4,0,3,1,270
E00107941,12,4,5,0,308
E00107942,15,0,0,1,284
E00107943,4,0,1,2,299
E00107944,4,2,4,1,233
E00107945,2,1,8,0,286
E00107946,8,2,7,0,241
E00107947,2,7,12,0,262
E00107948,10,0,2,2,250
E00107949,6,0,5,1,234
E00107951,7,1,3,0,264
E00107952,5,2,1,0,249
E00107954,4,1,8,2,300
E00107955,6,0,3,0,289
E00107957,4,0,4,1,337
E00107958,12,3,1,0,330
E00107959,9,1,3,0,308
E00107960,20,0,2,0,366
E00107961,4,0,3,0,291
E00107962,4,1,4,0,266
E00107995,24,0,1,0,415
E00107996,15,0,3,0,330
E00108369,4,3,7,0,270
E00108388,3,0,5,0,306
E00108389,1,0,3,0,289
E00108390,2,16,5,2,244
E00108392,0,0,1,0,317
E00108393,5,5,4,0,419
E00108394,3,0,2,0,282
E00108396,0,1,1,0,336
E00108437,2,1,3,0,284
E00108438,1,1,2,4,114
E00108439,1,2,9,1,287
E00108440,7,0,2,0,333
E00108441,0,0,5,0,239
E00108498,5,0,6,0,286
E00108499,16,4,3,0,278
E00108500,1,1,0,0,142
E00108670,1,5,2,0,250
E00108671,4,0,1,0,224
E00108672,4,4,5,0,312
E00108673,0,0,1,0,312
E00108674,4,0,1,0,268
E00108675,0,0,2,1,295
E00108676,1,0,4,0,332
E00108677,0,0,1,1,385
E00108678,0,0,1,0,311
E00108679,1,1,4,0,420
E00108680,8,1,4,2,316
E00108681,6,0,6,2,292
E00108682,0,0,1,0,260
E00108683,4,1,1,1,313
E00108711,5,2,3,0,366
E00108714,0,0,5,0,295
E00108721,1,1,4,0,362
E00108791,0,0,0,0,193
E00108792,11,4,5,0,303
E00108793,6,2,5,0,250
E00108794,2,0,3,0,124
E00108795,8,1,6,0,207
E00108796,14,4,4,0,329
E00108797,1,0,2,0,223
E00108798,1,3,0,0,163
E00108799,5,5,5,0,328
E00108800,0,5,4,0,351
E00108801,3,0,1,0,277
E00108802,7,2,1,0,375
E00108803,1,0,2,1,202
E00108804,13,4,6,0,331
E00108805,3,2,13,0,298
E00108806,6,1,2,0,268
E00108807,3,0,5,0,162
E00108808,4,1,4,0,361
E00108809,25,0,5,0,324
E00108810,0,1,0,0,297
E00108811,4,4,2,0,293
E00108812,1,1,1,0,210
E00108813,3,3,4,0,299
E00108814,5,1,8,0,279
E00108815,3,1,1,0,261
E00108816,1,3,5,8,298
E00108817,2,1,3,0,250
E00108818,8,0,0,0,235
E00108819,5,5,4,0,246
E00108820,7,13,8,3,370
E00108821,6,3,10,0,377
E00108822,0,8,2,0,223
E00108823,3,0,1,1,294
E00108824,7,6,4,4,226
E00108825,12,1,4,1,317
E00108826,11,8,11,1,297
E00108827,5,1,4,1,289
E00108828,7,2,4,3,328
E00108829,0,2,1,0,277
E00108831,2,1,10,1,289
E00108832,6,5,7,0,292
E00108833,7,3,5,0,287
E00108834,3,4,2,0,264
E00108836,7,5,1,0,353
E00108837,1,6,11,1,317
E00108838,1,1,4,1,241
E00108839,10,3,7,0,274
E00108840,0,1,2,0,252
E00108841,12,3,15,0,269
E00108842,6,10,9,0,306
E00108843,5,1,5,0,237
E00108845,2,2,8,1,294
E00108846,2,2,14,0,380
E00108847,4,0,3,0,291
E00108848,1,10,6,2,397
E00108849,23,5,14,0,377
E00108850,0,0,4,1,223
E00108851,3,3,6,0,233
E00108852,1,2,2,0,297
E00108853,3,4,13,0,267
E00108854,0,0,0,1,294
E00108855,4,2,8,1,331
E00108856,3,1,1,0,243
E00108857,0,1,4,0,279
E00108858,11,2,3,0,302
E00108859,0,8,1,0,298
E00108860,0,0,2,0,268
E00108861,5,0,8,1,347
E00108862,8,3,6,0,323
E00108863,14,3,5,0,358
E00108864,0,0,9,0,327
E00108865,7,1,3,0,272
E00108866,0,3,2,0,287
E00108973,6,1,4,4,294
E00108975,10,9,8,0,347
E00108976,5,20,7,1,310
E00108978,8,2,1,2,257
E00108979,21,1,1,0,289
E00108980,2,2,1,0,304
E00108982,10,3,9,2,394
E00108983,11,13,9,0,254
E00108984,10,6,6,2,298
E00108985,11,3,2,0,267
E00108986,9,18,8,0,396
E00108990,0,3,6,0,304
E00108996,15,15,8,0,329
E00109013,0,0,1,0,303
E00109014,4,0,4,4,284
E00109015,1,0,0,0,254
E00109016,1,1,5,0,232
E00109017,3,0,0,0,309
E00109018,1,0,3,0,289
E00109019,6,0,6,1,229
E00109020,1,1,4,0,252
E00109021,1,4,3,0,300
E00109022,5,3,10,4,232
E00109023,4,0,2,0,276
E00109024,8,1,1,0,261
E00109025,3,1,1,0,328
E00109026,11,4,6,0,364
E00109027,13,2,8,0,413
E00109028,2,0,1,2,310
E00109029,22,2,7,3,223
E00109030,1,0,1,0,105
E00109031,0,0,0,0,266
E00109032,9,2,0,0,305
E00109033,0,0,0,0,237
E00109388,0,5,3,1,318
E00109389,3,0,2,0,189
E00109390,4,0,4,1,364
E00109391,6,10,2,0,259
E00109393,2,1,0,1,189
E00109395,3,1,1,0,343
E00109396,2,0,3,0,268
E00109397,1,0,0,1,291
E00109398,0,1,4,0,322
E00109399,3,0,2,0,321
E00109400,2,0,0,0,371
E00109401,1,5,4,1,351
E00109402,1,1,2,0,312
E00109403,1,0,0,4,294
E00109404,3,0,2,3,312
E00109405,2,1,2,0,306
E00109406,70,11,6,1,265
E00109407,1,0,0,0,301
E00109408,4,0,0,0,298
E00109409,3,2,9,1,366
E00109410,2,1,4,0,338
E00109411,8,2,5,1,227
E00109412,2,8,1,0,321
E00109413,8,6,1,1,281
E00109414,7,3,4,0,337
E00109415,10,5,9,0,356
E00109417,4,1,5,0,329
E00109418,2,0,4,0,266
E00109419,1,0,8,2,381
E00109420,9,1,10,0,582
E00109421,1,0,2,0,321
E00109422,14,0,7,0,341
E00109423,10,5,3,5,238
E00109424,3,1,0,2,227
E00109425,8,0,3,0,254
E00109426,9,0,1,0,404
E00109427,3,2,7,3,324
E00109428,10,5,3,0,303
E00109429,8,1,3,0,426
E00109430,8,1,3,0,312
E00109431,5,0,3,0,267
E00109432,27,5,5,0,278
E00109434,4,0,2,2,302
E00109435,2,1,5,0,306
E00109436,1,1,4,0,244
E00109437,2,0,2,0,336
E00109438,6,0,2,1,336
E00109439,2,1,4,0,319
E00109440,1,0,1,0,285
E00109441,0,1,4,1,316
E00109442,5,4,0,0,325
E00109443,4,7,2,3,296
E00109444,0,1,4,0,343
E00109446,19,7,11,0,462
